Names,Runs,Innings,Average
Matthew Elliott,1,1,1.00
Ian Harvey,715,51,17.87
Paul Wilson,4,5,1.33
Jimmy Maher,438,20,25.76
Bradley Young,31,3,15.50
Andrew Symonds,"5,088",161,39.75
Brett Lee,1176,110,17.81
Stuart MacGill,1,2,1.00
Nathan Bracken,199,35,11.70
Simon Katich,"1,324",42,35.78
Brad Haddin,"3,122",115,31.53
Brad Williams,27,6,13.50
Ryan Campbell,54,2,27.00
Nathan Hauritz,336,32,22.40
Shane Watson,"5,757",169,40.54
Michael Clarke,"7,981",223,44.58
Michael Hussey,"5,442",157,48.15
James Hopes,"1,326",61,25.01
Cameron White,"2,072",77,33.96
Stuart Clark,69,12,13.80
Brad Hodge,575,21,30.26
Mick Lewis,4,1,n/a
Mitchell Johnson,951,91,16.11
Brett Dorey,2,1,2.00
Phil Jaques,125,6,20.83
Dan Cullen,2,1,n/a
Mark Cosgrove,112,3,37.33
Ben Hilfenhaus,29,11,9.66
Shaun Tait,25,7,12.50
Adam Voges,870,28,45.78
Ashley Noffke,0,0,n/a
Shaun Marsh,"2,747",70,41.62
Luke Ronchi[171],76,2,38.00
David Hussey,"1,796",61,32.65
Brett Geeves,10,2,n/a
Ryan Harris,48,13,8.00
David Warner,"4,343",104,43.71
Callum Ferguson,663,25,41.43
Peter Siddle,31,6,10.33
Ben Laughlin,1,1,n/a
Shane Harwood,0,1,n/a
Doug Bollinger,50,8,8.33
Marcus North,6,2,3.00
Dirk Nannes,1,1,1.00
Tim Paine,890,35,27.81
 Moisés Henriques,81,10,9.00
Graham Manou,7,1,7.00
Clinton McKay,190,31,9.04
Steve Smith,"3,431",94,41.84
Josh Hazlewood,37,13,18.50
John Hastings,271,21,27.10
Mitchell Starc,280,38,12.72
Xavier Doherty,101,23,14.42
Jason Krejza,13,2,13.00
James Pattinson,42,8,10.50
Pat Cummins,183,27,11.43
Mitch Marsh,"1,428",49,35.70
Daniel Christian,273,18,21.00
Matthew Wade,"1,777",80,25.75
Peter Forrest,368,14,26.28
Nathan Lyon,69,11,23.00
George Bailey,"3,044",85,40.58
Glenn Maxwell,"2,700",90,33.33
Aaron Finch,"4,052",105,39.33
Phillip Hughes,826,24,35.91
Usman Khawaja,"1,238",30,44.21
Ben Cutting,53,2,26.50
Kane Richardson,50,9,10.00
James Faulkner,"1,032",52,34.40
Fawad Ahmed,4,1,n/a
Nathan Coulter-Nile,154,18,12.83
Sean Abbott,3,1,3.00
Gurinder Sandhu,0,0,n/a
Joe Burns,146,6,24.33
Ashton Agar,144,8,20.57
Marcus Stoinis,963,31,38.52
Scott Boland,9,4,3.00
Joel Paris,0,0,n/a
Adam Zampa,99,18,7.07
Travis Head,"1,273",39,34.40
Daniel Worrall,6,1,n/a
Joe Mennie,1,2,0.50
Chris Tremain,23,3,23.00
Chris Lynn,75,4,18.75
Billy Stanlake,4,5,1.33
Peter Handscomb,628,19,34.88
Sam Heazlett,4,1,4.00
Hilton Cartwright,2,2,1.00
Andrew Tye,57,7,14.25
Alex Carey,429,17,30.64
Jhye Richardson,68,7,13.60
Michael Neser,8,2,4.00
D'Arcy Short,83,4,27.66
Jason Behrendorff,7,2,n/a
Ashton Turner,125,3,62.50
Gazi Ashraf,59,7,8.42
Gholam Nousher,8,3,8.00
Golam Faruq,44,4,22.00
Hafizur Rahman,8,1,8.00
Jahangir Shah,16,4,8.00
Minhajul Abedin,453,26,18.87
Nurul Abedin,15,4,3.75
Rafiqul Alam,24,2,12.00
Raqibul Hasan,17,2,8.50
Samiur Rahman,4,2,2.00
Shaheedur Rahman,62,2,31.00
Aminul Islam,794,39,23.35
Athar Ali Khan,532,19,29.55
Azhar Hossain,96,7,13.71
Harunur Rashid,0,2,0.00
Nasir Ahmed,25,4,12.50
Zahid Razzak,14,3,4.66
Akram Khan,976,44,23.23
Faruk Ahmed,105,7,15.00
Wahidul Gani,-,0,-
Enamul Haque,236,26,11.23
Jahangir Alam Talukdar,7,1,-
Saiful Islam,37,4,18.50
Anisur Rahman,2,2,1.00
Javed Omar,1312,59,23.85
Khaled Mashud,1818,110,21.90
Mohammad Rafique1,1190,104,13.52
Sajjad Ahmed,15,2,7.50
Habibul Bashar,2168,105,21.68
Hasibul Hossain,172,26,8.60
Naimur Rahman,488,27,19.52
Salahuddin Ahmed,24,5,12.00
Mafizur Rahman,53,4,17.66
Zakir Hasan,-,0,-
Jahangir Alam,4,3,1.33
Shahriar Hossain,98,5,19.80
Shafiuddin Ahmed,22,10,5.50
Khaled Mahmud,991,72,14.36
Sanwar Hossain,290,27,11.60
Shariful Haque,10,1,10.00
Zakir Hossain,0,1,0.00
Mehrab Hossain,449,18,24.94
Morshed Ali Khan,2,1,-
Al Sahariar,374,29,13.35
Manjural Islam,53,22,5.88
"Aminul Islam, Jr.",1,1,-
Mahbubur Rahman,3,1,3.00
Niamur Rashid,5,2,5.00
Ahmed Kamal,11,1,11.00
Mushfiqur Rahman,360,25,16.36
Mohammad Sharif,53,9,13.25
Mohammad Ashraful1,3468,168,22.37
Fahim Muntasir,6,1,3.00
Mashrafe Mortaza1,1738,149,14.13
Tushar Imran,574,40,14.35
Tareq Aziz,26,8,26.00
Alok Kapali,1235,66,19.60
Tapash Baisya,336,41,12.00
Hannan Sarkar,383,20,19.15
Mazharul Haque,3,1,3.00
Talha Jubair,5,5,2.50
Anwar Hossain Monir,0,1,-
Rafiqul Islam,0,1,0.00
Ehsanul Haque,57,6,9.50
Anwar Hossain,42,1,42.00
Mohammad Salim,9,1,9.00
Rajin Saleh,1005,43,23.92
Jamaluddin Ahmed,18,1,-
Manjural Islam Rana,331,21,20.68
Nafees Iqbal,309,16,19.31
Moniruzzaman,1,2,0.50
Faisal Hossain,43,5,10.75
Abdur Razzak,779,97,13.43
Aftab Ahmed,1954,85,24.73
