Names,Runs,Innings,Average
"Chris Woakes
","1,052",88,26.30
"Steven Finn
",136,69,8.00
"Jade Dernbach
",19,24,2.71
"Scott Borthwick
",18,2,9.00
"Ben Stokes
","2,217",84,37.57
"James Taylor 
",887,27,42.23
"Jonny Bairstow 
","2,329",63,47.53
"Stuart Meaker
",2,2,1.00
"Danny Briggs
",–,1,–
"Jos Buttler 
","3,531",131,41.54
"Joe Root
","5,300",132,50.47
"Gary Ballance
",297,16,21.21
"Michael Carberry
",114,6,19.00
"Boyd Rankin
",5,7,5.00
"Chris Jordan
",169,31,12.07
"Moeen Ali
","1,691",96,26.01
"Michael Lumb
",165,3,55.00
"Stephen Parry
",–,2,–
"Harry Gurney
",15,10,7.50
"Alex Hales
","2,419",70,37.79
"Zafar Ansari
",–,1,–
"Jason Roy
","2,938",76,40.80
"James Vince
",225,10,28.12
"David Willey
",279,46,18.60
"Mark Wood
",45,41,9.00
"Sam Billings 
",271,15,22.58
"Reece Topley
",7,10,7.00
"Liam Dawson
",14,3,7.00
"Jake Ball
",38,18,9.50
"Ben Duckett
",123,3,41.00
"Toby Roland-Jones
",37,1,–
"Tom Curran
",178,17,44.50
"Craig Overton
",–,1,–
"Sam Curran
",17,2,8.50
"Olly Stone
",9,4,–
"Jofra Archer
",–,3,–
"Ben Foakes 
",61,1,–
"Dawid Malan
",24,1,24.00
"Afzaal Haider
","22
","4
","7.33
"
"Manoj Cheruparambil
","30
","2
","15.00
"
"Alexander French
","24
","2
","12.00
"
"Ilyas Gul
","17
","2
","8.50
"
"Khalid Khan
","5
","2
","2.50
"
"Sher Lama
","16
","1
","–
"
"Roy Lamsam
","24
","2
","12.00
"
"Najeeb Amar
","38
","4
","12.66
"
"Rahul Sharma 
","11
","2
","5.50
"
"Tim Smart 
","34
","2
","17.00
"
"Tabarak Dar 
","101
","4
","25.25
"
"Nadeem Ahmed
","67
","25
","5.58
"
"Nasir Hameed 
","0
","1
","0.00
"
"James Atkinson 
","250
","9
","27.77
"
"Hussain Butt
","8
","2
","4.00
"
"Irfan Ahmed
","99
","6
","16.50
"
"Courtney Kruger
","3
","2
","1.50
"
"Munir Dar
","18
","2
","9.00
"
"Skhawat Ali
","46
","4
","11.50
"
"Zain Abbas
","26
","1
","–
"
"Ankur Vasishta
","36
","4
","12.00
"
"Babar Hayat 
","784
","22
","39.20
"
"Ehsan Nawaz
","30
","12
","5.00
"
"Haseeb Amjad
","112
","7
","22.40
"
"Nizakat Khan
","675
","20
","33.75
"
"Tanwir Afzal 
","292
","20
","18.25
"
"Waqas Barkat
","102
","10
","12.75
"
"Aizaz Khan
","260
","19
","20.00
"
"Anshuman Rath
","828
","18
","51.75
"
"Kinchit Shah
","136
","10
","15.11
"
"Christopher Carter 
","114
","11
","12.66
"
"Mark Chapman1
","151
","2
","151.00
"
"Waqas Khan
","67
","8
","16.75
"
"Ishtiaq Muhammad
","0
","1
","–
"
"Ehsan Khan
","102
","15
","11.33
"
"Shahid Wasif
","81
","10
","11.57
"
"Tanveer Ahmed
","4
","6
","–
"
"Kyle Christie
","0
","1
","0.00
"
"Cameron McAuslan
","35
","2
","17.50
"
"Scott McKechnie 
","108
","8
","15.42
"
"Simandeep Singh
","0
","1
","0.00
"
"Syed Abid Ali
","93
","5
","31.00
"
"Bishan Singh Bedi
","31
","10
","6.20
"
"Farokh Engineer
","114
","5
","38.00
"
"Sunil Gavaskar
","3092
","108
","35.13
"
"Madan Lal
","401
","67
","19.09
"
"Sudhir Naik
","38
","2
","19.00
"
"Brijesh Patel
","243
","10
","30.37
"
"Eknath Solkar
","27
","7
","4.50
"
"Srinivas Venkataraghavan
","54
","15
","10.80
"
"Gundappa Viswanath
","439
","25
","19.95
"
"Ajit Wadekar
","73
","2
","36.50
"
"Gopal Bose
","13
","1
","13.00
"
"Ashok Mankad
","44
","1
","44.00
"
"Mohinder Amarnath
","1924
","85
","30.53
"
"Anshuman Gaekwad
","269
","15
","20.69
"
"Karsan Ghavri
","114
","19
","11.40
"
"Syed Kirmani
","373
","49
","20.72
"
"Parthasarathy Sharma
","20
","2
","10.00
"
"Dilip Vengsarkar
","3508
","129
","34.73
"
"B. S. Chandrasekhar
","11
","1
","—
"
"Pochiah Krishnamurthy
","6
","1
","6.00
"
"Sudhakar Rao
","4
","1
","4.00
"
"Surinder Amarnath
","100
","3
","33.33
"
"Chetan Chauhan
","153
","7
","21.85
"
"Kapil Dev
","3783
","225
","23.79
"
"Yashpal Sharma
","883
","42
","28.48
"
"Bharath Reddy
","11
","3
","—
"
"Surinder Khanna
","176
","10
","22.00
"
"Kirti Azad
","269
","25
","14.15
"
"Roger Binny
","629
","72
","16.12
"
"Dilip Doshi
","9
","15
","3.00
"
"Sandeep Patil
","1005
","45
","24.51
"
"T. E. Srinivasan
","10
","2
","5.00
"
"Yograj Singh
","1
","6
","0.50
"
"Randhir Singh
","—
","2
","—
"
"Ravi Shastri
","3108
","150
","29.04
"
"Krishnamachari Srikkanth
","4091
","146
","29.01
"
"Suru Nayak
","3
","4
","3.00
"
"Arun Lal
","122
","13
","9.38
"
"Ashok Malhotra
","457
","20
","30.46
"
"Ghulam Parkar
","165
","10
","18.33
"
"Balwinder Sandhu
","51
","22
","12.75
"
"Maninder Singh
","49
","59
","12.25
"
"T. A. Sekhar
","—
","4
","—
"
"Chetan Sharma
","456
","65
","24.00
"
"Raju Kulkarni
","33
","10
","16.50
"
"Manoj Prabhakar
","1858
","130
","24.12
"
"Ashok Patel
","6
","8
","3.00
"
"Rajinder Ghai
","1
","6
","1.00
"
"Kiran More
","563
","94
","13.09
"
"Mohammad Azharuddin
","9378
","334
","36.92
"
"Sadanand Viswanath
","72
","22
","9.00
"
"Lalchand Rajput
","9
","4
","3.00
"
"Laxman Sivaramakrishnan
","5
","16
","2.50
"
"Gopal Sharma
","11
","11
","5.50
"
"Shivlal Yadav
","1
","7
","—
"
"Chandrakant Pandit
","290
","36
","20.71
"
"Raman Lamba
","783
","32
","27.00
"
"R. P. Singh
","—
","2
","—
"
"Bharat Arun
","21
","4
","10.50
"
"Navjot Singh Sidhu
","4413
","136
","37.08
"
"Arshad Ayub
","116
","32
","11.60
"
"Woorkeri Raman
","617
","27
","23.73
"
"Ajay Sharma
","424
","31
","20.19
"
"Sanjeev Sharma
","80
","23
","10.00
"
"Sanjay Manjrekar
","1994
","74
","33.23
"
"Narendra Hirwani
","8
","18
","2.00
"
"V. B. Chandrasekhar
","88
","7
","12.57
"
"Rashid Patel
","—
","1
","—
"
"M. Venkataramana
","0
","1
","—
"
"Robin Singh
","2336
","136
","25.95
"
"Salil Ankola
","34
","20
","3.77
"
"Vivek Razdan
","23
","3
","11.50
"
"Sachin Tendulkar
","18426
","463
","44.83
"
"Venkatapathy Raju
","32
","53
","4.00
"
"Atul Wassan
","33
","9
","8.25
"
"Gursharan Singh
","4
","1
","4.00
"
"Anil Kumble[19]
","903
","269
","10.37
"
"Saradindu Mukherjee
","2
","3
","—
"
"Vinod Kambli
","2477
","104
","32.59
"
"Javagal Srinath
","883
","229
","10.63
"
"Pravin Amre
","513
","37
","20.52
"
"Subroto Banerjee
","49
","6
","24.50
"
"Sourav Ganguly[19]
","11221
","308
","40.95
"
"Ajay Jadeja
","5359
","196
","37.47
"
"Vijay Yadav
","118
","19
","11.80
"
"Rajesh Chauhan
","132
","35
","10.15
"
"Nayan Mongia
","1272
","140
","20.19
"
"Venkatesh Prasad
","221
","161
","6.90
"
"Atul Bedade
","158
","13
","22.57
"
"Bhupinder Singh, Sr.
","6
","2
","6.00
"
"Aashish Kapoor
","43
","17
","7.16
"
"Prashant Vaidya
","15
","4
","7.50
"
"Utpal Chatterjee
","6
","3
","6.00
"
"Rahul Dravid[20]
","10768
","340
","39.15
"
"Vikram Rathour
","193
","7
","27.57
"
"Paras Mhambrey
","7
","3
","—
"
"Sunil Joshi
","584
","69
","17.17
"
"Sujith Somasunder
","16
","2
","8.00
"
"Pankaj Dharmani
","8
","1
","8.00
"
"Saba Karim
","362
","34
","15.73
"
"Dodda Ganesh
","4
","1
","4.00
"
"Abey Kuruvilla
","26
","25
","3.71
"
"Noel David
","9
","4
","—
"
"Nilesh Kulkarni
","11
","10
","5.50
"
"Harvinder Singh
","6
","16
","1.50
"
"Debashish Mohanty
","28
","45
","5.60
"
"Sairaj Bahutule
","23
","8
","7.66
"
"Hrishikesh Kanitkar
","339
","34
","17.84
"
"Rahul Sanghvi
","8
","10
","4.00
"
"Ajit Agarkar
","1269
","191
","14.58
"
"V. V. S. Laxman
","2338
","86
","30.76
"
"Harbhajan Singh[19]
","1213
","234
","13.32
"
"Gagan Khoda
","115
","2
","57.50
"
"M. S. K. Prasad
","131
","17
","14.55
"
"Nikhil Chopra
","310
","39
","15.50
"
"Jatin Paranjpe
","54
","4
","18.00
"
"Sanjay Raul
","8
","2
","4.00
"
"Laxmi Ratan Shukla
","18
","3
","9.00
"
"Gyanendra Pandey
","4
","2
","4.00
"
"Amay Khurasiya
","149
","12
","13.54
"
"Sadagoppan Ramesh
","646
","24
","28.08
"
"Virender Sehwag[20]
","7995
","241[21]
","35.37
"
"Jacob Martin
","158
","10
","22.57
"
"Vijay Bharadwaj
","136
","10
","27.20
"
"Thirunavukkarasu Kumaran
","19
","8
","6.33
"
"Devang Gandhi
","49
","3
","16.33
"
"Sameer Dighe
","256
","23
","23.27
"
"Sridharan Sriram
","81
","8
","13.50
"
"Hemang Badani
","867
","40
","33.34
"
"Amit Bhandari
","—
","2
","—
"
"Vijay Dahiya
","216
","19
","16.61
"
"Zaheer Khan[19]
","753
","194
","11.58
"
"Yuvraj Singh[19]
","8609
","301
","36.47
"
"Reetinder Singh Sodhi
","280
","18
","25.45
"
"Dinesh Mongia
","1230
","57
","27.95
"
"Ashish Nehra[19]
","140
","117
","5.83
"
"Shiv Sunder Das
","39
","4
","13.00
"
"Deep Dasgupta
","51
","5
","17.00
"
"Ajay Ratra
","90
","12
","12.85
"
"Sanjay Bangar
","180
","15
","13.84
"
"Mohammad Kaif
","2753
","125
","32.01
"
"Sarandeep Singh
","47
","5
","15.66
"
"Murali Kartik
","126
","37
","14.00
"
"Tinu Yohannan
","7
","3
","—
"
"Jai Yadav
","81
","12
","20.25
"
"Lakshmipathy Balaji
","120
","30
","12.00
"
"Parthiv Patel
","736
","38
","23.74
"
"Gautam Gambhir
","5238
","147
","39.68
"
"Aavishkar Salvi
","4
","4
","2.00
"
"Amit Mishra
","43
","36
","5.37
"
"Abhijit Kale
","10
","1
","10.00
"
"Irfan Pathan
","1544
","120
","23.39
"
"Rohan Gavaskar
","151
","11
","18.87
"
"Ramesh Powar
","163
","31
","11.64
"
"Dinesh Karthik
","1738
","91
","31.03
"
"Mahendra Singh Dhoni[19]
","10326
","338
","50.37
"
"Joginder Sharma
","35
","4
","35.00
"
"Suresh Raina
","5615
","226
","35.31
"
"Yalaka Venugopal Rao
","218
","16
","24.22
"
"R. P. Singh
","104
","58
","10.40
"
"S. Sreesanth
","44
","53
","4.00
"
"Munaf Patel
","74
","70
","6.72
"
"V. R. V. Singh
","8
","2
","8.00
"
"Robin Uthappa
","934
","46
","25.94
"
"Wasim Jaffer
","10
","2
","5.00
"
"Piyush Chawla
","38
","25
","5.42
"
"Rohit Sharma
","8010
","206
","47.39
"
"Ishant Sharma
","72
","80
","4.80
"
"Praveen Kumar
","292
","68
","13.90
"
"Manoj Tiwary
","287
","12
","26.09
"
"Yusuf Pathan
","810
","57
","27.00
"
"Manpreet Gony
","—
","2
","—
"
"Pragyan Ojha
","46
","18
","23.00
"
"Virat Kohli
","10843
","227
","59.57
"
"Subramaniam Badrinath
","79
","7
","15.80
"
"Ravindra Jadeja
","2035
","151
","29.92
"
"Abhishek Nayar
","0
","3
","—
"
"Sudeep Tyagi
","1
","4
","—
"
"Abhimanyu Mithun
","51
","5
","17.00
"
"Murali Vijay
","339
","17
","21.18
"
"Ashok Dinda
","21
","13
","4.20
"
"Vinay Kumar
","86
","31
","9.55
"
"Umesh Yadav
","79
","75
","7.90
"
"Ravichandran Ashwin
","675
","111
","16.07
"
"Naman Ojha
","1
","1
","1.00
"
"Pankaj Singh
","3
","1
","—
"
"Shikhar Dhawan
","5355
","128
","44.62
"
"Saurabh Tiwary
","49
","3
","—
"
"Wriddhiman Saha
","41
","9
","13.66
"
"Ajinkya Rahane
","2962
","90
","35.26
"
"Varun Aaron
","8
","9
","8.00
"
"Rahul Sharma
","1
","4
","1.00
"
"Bhuvneshwar Kumar
","523
","105
","15.38
"
"Mohammed Shami
","131
","63
","8.73
"
"Ambati Rayudu
","1694
","55
","47.05
"
"Jaydev Unadkat
","—
","7
","—
"
"Cheteshwar Pujara
","51
","5
","10.20
"
"Mohit Sharma
","31
","26
","7.75
"
"Stuart Binny
","230
","14
","28.75
"
"Parvez Rasool
","—
","1
","—
"
"Axar Patel
","181
","38
","12.92
"
"Dhawal Kulkarni
","27
","12
","—
"
"Karn Sharma
","—
","2
","—
"
"Kedar Jadhav
","1174
","59
","43.48
"
"Manish Pandey
","440
","23
","36.66
"
"Barinder Sran
","—
","6
","—
"
"Rishi Dhawan
","12
","3
","12.00
"
"Gurkeerat Singh
","13
","3
","6.50
"
"Jasprit Bumrah
","18
","49
","3.60
"
"Yuzvendra Chahal
","34
","41
","8.50
"
"Karun Nair
","46
","2
","23.00
"
"KL Rahul
","343
","14
","34.30
"
"Faiz Fazal
","55
","1
","—
"
"Hardik Pandya
","731
","45
","29.24
"
"Jayant Yadav
","1
","1
","—
"
"Kuldeep Yadav
","100
","44
","12.50
"
"Shardul Thakur
","22
","5
","22.00
"
"Shreyas Iyer
","210
","6
","42.00
"
"Washington Sundar
","—
","1
","—
"
"Siddarth Kaul
","1
","3
","0.50
"
"Khaleel Ahmed
","9
","8
","4.50
"
"Deepak Chahar
","12
","1
","12.00
"
"Rishabh Pant
","93
","5
","23.25
"
"Mohammed Siraj
","—
","1
","—
"
"Vijay Shankar
","165
","9
","33.00
"
"Shubman Gill
","16
","2
","8.00
"
"Andre Botha
",666,42,19.58
"Jeremy Bray 
",401,15,28.64
"Peter Gillespie
",2,5,0.50
"Trent Johnston 
",743,67,19.55
"Dominick Joyce
",29,3,9.66
"Dave Langford-Smith
",142,22,15.77
"Kyle McCallan 
",361,39,20.05
"John Mooney
",951,60,24.38
"Paul Mooney
",12,4,12.00
"Kevin O'Brien 
","3,444",139,31.02
"Andrew White
",776,61,18.04
"Eoin Morgan
",744,23,35.42
"Niall O'Brien 
","2,581",103,28.05
"William Porterfield 
","3,962",133,31.19
"Kenny Carroll
",70,6,11.66
"Boyd Rankin
",80,63,6.66
"Thinus Fourie
",42,7,21.00
"Roger Whelan
",5,2,2.50
"Gary Wilson 
","2,072",105,23.81
"Alex Cusack
",745,58,22.57
"Gary Kidd
",15,6,15.00
"Reinhardt Strydom
",83,9,13.83
"Greg Thompson
",2,3,1.00
"Peter Connell
",40,13,20.00
"Phil Eaglestone
",4,1,4.00
"Ryan Haire
",56,2,28.00
"Andrew Poynter
",255,19,19.61
"Paul Stirling
","3,897",111,36.76
"Regan West
",61,10,30.50
"Andrew Britton
",–,1,–
"George Dockrell
",579,87,16.54
"James Hall
",28,3,9.33
"Nigel Jones
",74,14,14.80
"Rory McCann 
",44,8,11.00
"Andrew Balbirnie
","1,698",61,31.44
"Albert van der Merwe
",15,9,3.75
"Ed Joyce
","2,151",61,41.36
"Tim Murtagh
",186,55,7.75
"James Shannon
",2,1,2.00
"Max Sorensen
",125,13,20.83
"Eddie Richardson
",12,2,12.00
"Stuart Thompson
",228,20,16.28
"John Anderson
",151,8,18.87
"Andy McBrine
",255,39,17.00
"Stuart Poynter 
",185,21,13.21
"Craig Young
",20,13,5.00
"Graeme McCarter
",1,1,–
"Peter Chase
",35,25,3.50
"Barry McCarthy
",110,27,7.85
"Sean Terry
",32,5,6.40
"Jacob Mulder
",15,4,–
" Simi Singh
",193,15,14.84
"James McCollum
",17,5,3.40
"James Cameron-Dow
",7,4,–
"Mark Adair
",93,6,18.60
"Joshua Little
",9,4,4.50
"Lorcan Tucker
",7,2,3.50
"Rajab Ali
",7,9,–
"Dipak Chudasama
",434,20,22.84
"Aasif Karim 
",228,34,12.66
"Hitesh Modi
",1109,63,23.59
"Thomas Odoyo 
",2366,131,23.19
"Edward Odumbe
",61,8,10.16
"Maurice Odumbe 
",1409,61,26.09
"Kennedy Otieno 
",2016,90,23.44
"Martin Suji
",247,64,8.23
"David Tikolo
",36,3,–
"Steve Tikolo 
",3369,131,29.55
"Tariq Iqbal 
",17,3,35.42
"Lameck Onyango
",144,29,13.09
"Sandeep Gupta
",121,10,13.44
"Tony Suji
",506,60,12.97
"Mohammad Sheikh
",68,21,6.80
"Alpesh Vadher
",278,18,27.80
"Joseph Angara
",23,17,3.83
"Ravindu Shah
",1506,56,27.88
"Jimmy Kamande 
",1055,86,17.29
"Josephat Ababu
",29,9,9.66
"Peter Ongondo
",391,78,9.09
"Collins Obuya 
",2044,104,19.35
"David Obuya 
",1355,74,20.00
"Brijal Patel
",360,31,16.36
"Alfred Luseno
",34,10,17.00
"Rageb Aga
",150,12,16.66
"Morris Ouma 
",1501,80,20.84
"Malhar Patel
",40,3,13.33
"Tanmay Mishra
",1128,42,34.18
"Nehemiah Odhiambo
",528,69,12.00
"Kalpesh Patel
",1,2,1.00
"Hiren Varaiya
",252,63,12.00
"Alex Obanda
",1306,49,30.37
"Elijah Otieno
",49,26,4.90
"Rakep Patel 
",621,39,20.03
"Rajesh Bhudia
",122,5,24.40
"Seren Waters
",419,20,20.95
"Shem Ngoche
",68,14,7.55
"Nelson Odhiambo
",56,8,9.33
"James Ngoche
",35,17,5.00
"Francis Otieno
",16,4,4.00
"Dominic Wesonga
",61,4,20.33
"Duncan Allan
",71,5,14.20
"Runish Gudhka
",17,2,17.00
"Irfan Karim 
",396,9,44.00
"Lucas Oluoch
",6,2,6.00
"Emmanuel Bundi
",–,1,–
"Dhiren Gondaria
",7,2,3.50
"Gurdeep Singh
",1,1,1.00
"Jan-Berrie Burger
",199,6,33.16
"Louis Burger
",11,6,2.20
"Morné Karg 
",45,3,22.50
"Danie Keulder
",132,6,22.00
"Björn Kotzé
",27,5,9.00
"Deon Kotzé 
",82,6,16.40
"Lennie Louw
",–,1,–
"Bryan Murgatroyd
",90,6,15.00
"Gerrie Snyman
",5,5,1.25
"Stephan Swanepoel
",43,5,8.60
"Riaan Walters
",0,2,0.00
"Melt van Schoor 
",58,5,14.50
"Rudie van Vuuren
",26,5,8.66
"Sarel Burger
",11,2,5.50
"Burton van Rooi
",26,3,26.00
"Stephan Baard
",13,1,13.00
"Karl Birkenstock
",61,1,61.00
"Gerhard Erasmus 
",16,1,16.00
"Jan Frylinck
",16,1,–
"Zane Green 
",38,1,38.00
"JP Kotze
",23,1,23.00
"Bernard Scholtz
",–,1,–
"JJ Smit
",29,1,29.00
"Christi Viljoen
",17,1,–
"Craig Williams
",8,1,8.00
"Pikky Ya France
",–,1,–
" Aarif Sheikh
",94,6,18.80
"Dipendra Singh Airee
",108,6,18.00
"Shakti Gauchan
",9,1,–
"Karan KC
",21,5,5.25
"Paras Khadka 
",235,6,39.16
"Sandeep Lamichhane
",40,6,10.00
"Gyanendra Malla
",143,6,23.83
"Basanta Regmi
",13,4,3.25
"Anil Sah 
",25,2,12.50
" Sompal Kami
",146,6,36.50
"Sharad Vesawkar
",4,1,4.00
"Lalit Bhandari
",4,1,–
"Subash Khakurel 
",69,2,34.50
"Rohit Paudel
",86,4,21.50
" Sagar Pun
",3,1,3.00
"Binod Bhandari 
",35,3,11.66
"Lalit Rajbanshi
",5,3,–
"Pawan Sarraf
",12,2,6.00
"Sundeep Jora
",19,1,19.00
"Flavian Aponso
",120,5,30.00
"Paul-Jan Bakker
",1,5,–
"Peter Cantrell
",160,5,32.00
"Nolan Clarke
",50,5,10.00
"Tim de Leede
",400,29,16.66
"Eric Gouka
",19,3,19.00
"Roland Lefebvre 
",171,11,28.50
"Steven Lubbers 
",24,4,8.00
"Marcelis Schewe 
",49,5,16.33
"Klaas-Jan van Noortwijk
",322,9,46.00
"Bastiaan Zuiderent
","1,097",57,23.84
"Floris Jansen
",–,2,–
"Robert van Oosterom
",7,3,7.00
" Adeel Raja
",28,21,2.80
"Jacob-Jan Esmeijer
",10,6,2.50
"Victor Grandia
",0,1,0.00
"Edgar Schiferli
",161,30,10.06
"Reinout Scholte 
",39,5,7.80
"Daan van Bunge
",633,37,21.10
"Luuk van Troost 
",284,23,15.77
"Feiko Kloppenburg
",165,6,27.50
"Hendrik-Jan Mol
",67,11,8.37
"Jeroen Smits 
",169,38,16.90
"Nick Statham
",7,3,2.33
"Peter Borren 
","1,004",58,22.31
"Alexei Kervezee
",924,39,28.00
" Mohammad Kashif
",1,11,0.33
"Darron Reekers
",481,19,25.31
"Billy Stelling
",180,15,30.00
"Ryan ten Doeschate
","1,541",33,67.00
"Pieter Seelaar
",123,39,9.46
"Eric Szwarczynski
","1,102",41,29.78
"Tom de Grooth
",480,34,17.14
"Mark Jonkman
",59,16,11.80
"Maurits van Nierop
",35,2,35.00
" Mudassar Bukhari
",516,46,17.20
"Atse Buurman 
",140,17,15.55
"Geert-Maarten Mol
",25,6,12.50
"Mangesh Panchal
",–,1,–
"Maurits Jonkman
",20,4,10.00
"Lesley Stokkers
",15,1,–
"Ruud Nijman
",–,1,–
"Tim Gruijters
",68,5,22.66
"Tom Cooper
",976,23,48.80
"Wesley Barresi 
",866,30,34.64
"Bradley Kruger
",32,5,10.66
"Bernard Loots
",16,7,5.33
"Tom Heggelman
",27,5,5.40
"Berend Westdijk
",1,4,0.50
"Neil Kruger
",39,2,19.50
"Michael Swart
",197,12,19.70
"Ahsan Malik
",14,12,–
"Vinoo Tewarie
",4,1,4.00
"Stephan Myburgh
",294,13,24.50
"Wilfred Diepeveen
",6,1,6.00
"Timm van der Gugten
",4,4,2.00
"Paul van Meekeren
",30,4,–
"Michael Rippon
",71,6,23.66
"Ben Cooper
",116,6,29.00
"Vivian Kingma
",–,1,–
"Bas de Leede
",30,2,15.00
"Scott Edwards 
",27,2,13.50
"Fred Klaassen
",24,2,12.00
"Shane Snater
",22,2,6.00
"Daniel ter Braak
",40,2,20.00
Mark Burgess,336,20,16.80
Richard Collinge,34,9,5.66
Peter Coman,62,3,20.66
Bevan Congdon,338,9,56.33
Dayle Hadlee,40,7,8.00
Richard Hadlee,1751,98,21.61
Brian Hastings,151,9,18.87
Hedley Howarth,18,5,6.00
Glenn Turner,1598,40,47.00
Graham Vivian,14,1,14.00
Ken Wadsworth,258,10,28.66
Vic Pollard,67,2,33.50
Rodney Redmond,3,1,3.00
Bruce Taylor,22,1,22.00
Lance Cairns,987,65,16.72
David O'Sullivan,2,2,2.00
John Parker,248,20,12.40
Barry Hadlee,26,2,26.00
Geoff Howarth,1384,65,23.06
John Morrison,252,15,21.00
Brian McKechnie,54,8,13.50
Graham Edwards,138,6,23.00
Robert Anderson,16,2,16.00
Norman Parker,-,1,-
Andrew Roberts,16,1,16.00
Gary Troup,101,12,25.25
Stephen Boock,30,7,10.00
John Wright,3891,148,26.46
Brendon Bracewell,-,1,-
Bruce Edgar,1814,64,30.74
Jeremy Coney,1874,80,30.72
Warren Lees,215,24,11.31
Warren Stott,-,-,-
Ewen Chatfield,118,48,10.72
Paul McEwan,204,15,13.60
John Fulton Reid,633,24,27.52
Martin Snedden,535,54,15.28
Ian Smith,1055,77,17.29
Gary Robertson,49,6,8.16
Martin Crowe,4704,140,38.55
Bruce Blair,174,14,14.50
Jeff Crowe,1518,71,25.72
Peter Webb,38,5,9.50
Richard Webb,6,1,-
Trevor Franklin,27,3,9.00
John Bracewell,512,43,16.51
Derek Stirling,21,5,7.00
Evan Gray,98,7,16.33
Ron Hart,3,1,3.00
Ken Rutherford,3143,115,29.65
Ervin McSweeney,73,14,8.11
Stu Gillespie,70,11,11.66
Tony Blain,442,38,16.37
Willie Watson,86,24,7.81
Phil Horne,50,4,12.50
Dipak Patel,623,63,11.75
Andrew Jones,2784,87,35.69
Danny Morrison,171,43,9.00
Vaughan Brown,44,3,14.66
Mark Greatbatch,2206,83,28.28
Chris Kuggeleijn,142,11,15.77
Richard Reid,248,9,27.55
Robert Vance,248,8,31.00
Gavin Larsen,629,70,14.62
Stu Roberts,1,1,-
Shane Thomson,964,52,22.95
Jonathan Millmow,-,1,-
Mark Priest,103,14,10.30
Chris Pringle,193,41,8.77
David White,37,3,12.33
Grant Bradburn,60,10,8.57
Chris Harris,4379,213,29.00
Richard Petrie,65,8,13.00
Rod Latham,583,33,20.10
Bryan Young,1668,73,24.52
Chris Cairns1,4881,192,29.22
Murphy Su'a,24,7,4.80
Simon Doull,172,27,12.28
Dion Nash,624,53,15.60
Adam Parore,3314,161,25.68
Blair Hartland,311,16,20.73
Justin Vaughan,162,16,18.00
Mark Haslam,9,1,9.00
Michael Owens,-,1,-
Jeff Wilson,103,6,20.60
Richard de Groen,12,8,2.40
Matthew Hart,61,8,7.62
Stephen Fleming1,8007,268,32.41
Mark Douglas,55,6,9.16
Heath Davis,13,6,6.50
Darrin Murray,3,1,3.00
Lee Germon,519,31,19.96
Nathan Astle,7090,217,34.92
Roydon Hayes,13,1,13.00
Roger Twose,2717,81,38.81
Craig Spearman,936,50,18.72
Robert Kennedy,17,4,17.00
Geoff Allott,17,11,3.40
Matthew Horne,980,48,20.41
Daniel Vettori1,2201,183,17.19
Andrew Penn,23,3,11.50
Craig McMillan,4707,183,28.18
Shayne O'Connor,24,13,3.42
Llorne Howell,287,12,23.91
Paul Wiseman,45,7,22.50
Mark Bailey,-,-,-
Matthew Bell,133,7,19.00
Alex Tait,35,5,11.66
Chris Drum,9,2,-
Carl Bulfin,9,2,9.00
Scott Styris,4483,161,32.48
Warren Wisneski,10,2,10.00
Mathew Sinclair,1304,50,28.34
Chris Nevin,732,36,20.33
Glen Sulzberger,9,2,9.00
Daryl Tuffey,295,52,9.51
Brooke Walker,47,7,15.66
James Franklin,1270,80,23.96
Chris Martin,8,7,1.60
Jacob Oram,2434,116,24.09
Lou Vincent,2413,99,27.11
Andre Adams,419,34,17.45
Kyle Mills,1047,101,15.62
Shane Bond,292,40,16.22
Mark Richardson,42,4,10.50
Brendon McCullum,6083,228,30.41
Ian Butler,84,13,10.50
Robbie Hart,0,1,0.00
Paul Hitchcock,41,7,10.25
Craig Cumming,161,13,13.41
Richard Jones,168,5,33.60
Hamish Marshall,1454,62,27.43
Michael Mason,24,7,8.00
Matthew Walker,10,1,10.00
Kerry Walmsley,-,-,-
Tama Canning,52,4,17.33
Michael Papps,207,6,51.75
Gareth Hopkins,236,17,14.75
Peter Fulton,1334,46,32.53
James Marshall,250,10,25.00
Lance Hamilton,3,2,-
Jeetan Patel,95,15,13.57
Jamie How,1046,37,29.05
Ross Taylor,8026,203,48.34
Mark Gillespie,93,14,15.50
Jesse Ryder,1362,42,33.21
Iain O'Brien,3,2,-
Daniel Flynn,228,17,15.20
Tim Southee,669,84,12.62
Grant Elliott,1976,69,34.06
Neil Broom,943,39,26.94
Martin Guptill,6440,166,43.51
Brendon Diamanti,26,1,-
Peter McGlashan,63,2,63.00
Ewen Thompson,-,-,-
Nathan McCullum,1070,62,20.98
Aaron Redmond,152,6,25.33
Peter Ingram,193,7,27.57
Andy McKay,12,10,4.00
Shanan Stewart,26,4,6.50
Kane Williamson,5554,133,45.90
BJ Watling,573,25,24.91
Hamish Bennett,10,7,5.00
Luke Woodcock,14,2,14.00
Doug Bracewell,158,12,15.80
Rob Nicol,586,21,30.84
Graeme Aldridge,-,-,-
Dean Brownlie,361,15,25.78
Andrew Ellis,25,5,8.33
Tom Latham,2395,79,33.73
Tarun Nethula,12,3,6.0
Michael Bates,13,1,13.00
