cap_no,name,ground_year
1,Aarif Sheikh,"Netherlands v Nepal at Amstelveen, 2018"
2,DS Airee,"Netherlands v Nepal at Amstelveen, 2018"
3,SP Gauchan,"Netherlands v Nepal at Amstelveen, 2018"
4,Karan KC,"Netherlands v Nepal at Amstelveen, 2018"
5,P Khadka,"Netherlands v Nepal at Amstelveen, 2018"
6,S Lamichhane,"Netherlands v Nepal at Amstelveen, 2018"
7,G Malla,"Netherlands v Nepal at Amstelveen, 2018"
8,B Regmi,"Netherlands v Nepal at Amstelveen, 2018"
9,AK Sah,"Netherlands v Nepal at Amstelveen, 2018"
10,Sompal Kami,"Netherlands v Nepal at Amstelveen, 2018"
11,S Vesawkar,"Netherlands v Nepal at Amstelveen, 2018"
12,LS Bhandari,"Netherlands v Nepal at Amstelveen, 2018"
13,SP Khakurel,"Netherlands v Nepal at Amstelveen, 2018"
14,RK Paudel,"Netherlands v Nepal at Amstelveen, 2018"
15,Sagar Pun,"Nepal v United Arab Emirates at Kuala Lumpur, 2018"
16,B Bhandari,"United Arab Emirates v Nepal at ICCA Dubai, 2018/19"
17,LN Rajbanshi,"United Arab Emirates v Nepal at ICCA Dubai, 2018/19"
18,P Sarraf,"United Arab Emirates v Nepal at ICCA Dubai, 2018/19"
19,S Jora,"United Arab Emirates v Nepal at ICCA Dubai, 2018/19"
