cap_no,name,ground_year
1,Frasat Ali,"East Africa v New Zealand at Birmingham, 1975"
2,Harilal Shah,"East Africa v New Zealand at Birmingham, 1975"
3,Jawahir Shah,"East Africa v New Zealand at Birmingham, 1975"
4,H McLeod,"East Africa v New Zealand at Birmingham, 1975"
5,Mehmood Quaraishy,"East Africa v New Zealand at Birmingham, 1975"
6,J Nagenda,"East Africa v New Zealand at Birmingham, 1975"
7,PG Nana,"East Africa v New Zealand at Birmingham, 1975"
8,RK Sethi,"East Africa v New Zealand at Birmingham, 1975"
9,S Sumar,"East Africa v New Zealand at Birmingham, 1975"
10,S Walusimbi,"East Africa v New Zealand at Birmingham, 1975"
11,Zulfiqar Ali,"East Africa v New Zealand at Birmingham, 1975"
12,PS Mehta,"East Africa v India at Leeds, 1975"
13,DJ Pringle,"East Africa v India at Leeds, 1975"
14,Yunus Badat,"East Africa v India at Leeds, 1975"
