cap_no,name,ground_year
1,Asif Iqbal,"New Zealand v Pakistan at Christchurch, 1972/73"
2,Asif Masood,"New Zealand v Pakistan at Christchurch, 1972/73"
3,Intikhab Alam,"New Zealand v Pakistan at Christchurch, 1972/73"
4,Majid Khan,"New Zealand v Pakistan at Christchurch, 1972/73"
5,Mushtaq Mohammad,"New Zealand v Pakistan at Christchurch, 1972/73"
6,Nasim-ul-Ghani,"New Zealand v Pakistan at Christchurch, 1972/73"
7,Sadiq Mohammad,"New Zealand v Pakistan at Christchurch, 1972/73"
8,Saleem Altaf,"New Zealand v Pakistan at Christchurch, 1972/73"
9,Sarfraz Nawaz,"New Zealand v Pakistan at Christchurch, 1972/73"
10,Wasim Bari,"New Zealand v Pakistan at Christchurch, 1972/73"
11,Wasim Raja,"New Zealand v Pakistan at Christchurch, 1972/73"
12,Imran Khan,"England v Pakistan at Nottingham, 1974"
13,Zaheer Abbas,"England v Pakistan at Nottingham, 1974"
14,Naseer Malik,"Australia v Pakistan at Leeds, 1975"
15,Javed Miandad,"Pakistan v West Indies at Birmingham, 1975"
16,Pervez Mir,"Pakistan v West Indies at Birmingham, 1975"
17,Mohsin Khan,"West Indies v Pakistan at Albion, 1976/77"
18,Aamer Hameed,"Pakistan v England at Sahiwal, 1977/78"
19,Hasan Jamil,"Pakistan v England at Sahiwal, 1977/78"
20,Liaqat Ali,"Pakistan v England at Sahiwal, 1977/78"
21,Mudassar Nazar,"Pakistan v England at Sahiwal, 1977/78"
22,Shafiq Ahmed,"Pakistan v England at Sahiwal, 1977/78"
23,Haroon Rasheed,"Pakistan v England at Sialkot, 1977/78"
24,Iqbal Qasim,"Pakistan v England at Sialkot, 1977/78"
25,Sikander Bakht,"Pakistan v England at Sialkot, 1977/78"
26,Arshad Pervez,"Pakistan v England at Lahore, 1977/78"
27,Naeem Ahmed,"England v Pakistan at The Oval, 1978"
28,Azmat Rana,"Pakistan v India at Sialkot, 1978/79"
29,Mansoor Akhtar,"Pakistan v West Indies at Karachi, 1980/81"
30,Mohammad Nazir,"Pakistan v West Indies at Karachi, 1980/81"
31,Taslim Arif,"Pakistan v West Indies at Karachi, 1980/81"
32,Ashraf Ali,"Pakistan v West Indies at Sialkot, 1980/81"
33,Ijaz Faqih,"Pakistan v West Indies at Lahore, 1980/81"
34,Rashid Khan,"Pakistan v West Indies at Lahore, 1980/81"
35,Saleem Pervez,"Pakistan v West Indies at Lahore, 1980/81"
36,Tahir Naqqash,"Pakistan v West Indies at Lahore, 1980/81"
37,Rizwan-uz-Zaman,"Pakistan v West Indies at Melbourne, 1981/82"
38,Saleem Malik,"Pakistan v West Indies at Sydney, 1981/82"
39,Jalal-ud-Din,"Pakistan v Sri Lanka at Karachi, 1981/82"
40,Saleem Yousuf,"Pakistan v Sri Lanka at Karachi, 1981/82"
41,Tauseef Ahmed,"Pakistan v Sri Lanka at Karachi, 1981/82"
42,Shahid Mahboob,"Pakistan v India at Lahore, 1982/83"
43,Abdul Qadir,"New Zealand v Pakistan at Birmingham, 1983"
44,Azeem Hafeez,"India v Pakistan at Hyderabad (Deccan), 1983/84"
45,Qasim Umar,"India v Pakistan at Hyderabad (Deccan), 1983/84"
46,Saadat Ali,"Pakistan v England at Lahore, 1983/84"
47,Anil Dalpat,"Pakistan v England at Karachi, 1983/84"
48,Naved Anjum,"Pakistan v England at Karachi, 1983/84"
49,Manzoor Elahi,"Pakistan v India at Quetta, 1984/85"
50,Sajid Ali,"Pakistan v India at Sialkot, 1984/85"
51,Zakir Khan,"Pakistan v New Zealand at Peshawar, 1984/85"
52,Shoaib Mohammad,"Pakistan v New Zealand at Faisalabad, 1984/85"
53,Wasim Akram,"Pakistan v New Zealand at Faisalabad, 1984/85"
54,Mohsin Kamal,"Pakistan v New Zealand at Sialkot, 1984/85"
55,Masood Iqbal,"Pakistan v New Zealand at Multan, 1984/85"
56,Rameez Raja,"New Zealand v Pakistan at Christchurch, 1984/85"
57,Zulqarnain,"Pakistan v West Indies at Rawalpindi, 1985/86"
58,Saleem Jaffar,"Pakistan v West Indies at Peshawar, 1986/87"
59,Asif Mujtaba,"Pakistan v West Indies at Gujranwala, 1986/87"
60,Ijaz Ahmed,"Pakistan v West Indies at Sialkot, 1986/87"
61,Younis Ahmed,"India v Pakistan at Kolkata, 1986/87"
62,Zahid Ahmed,"Pakistan v England at Lahore, 1987/88"
63,Shakeel Khan,"Pakistan v England at Peshawar, 1987/88"
64,Haafiz Shahid,"West Indies v Pakistan at St John's, 1987/88"
65,Aamer Malik,"West Indies v Pakistan at Port of Spain, 1987/88"
66,Moin-ul-Atiq,"West Indies v Pakistan at Port of Spain, 1987/88"
67,Aaqib Javed,"Pakistan v West Indies at Adelaide, 1988/89"
68,Saeed Anwar,"Pakistan v West Indies at Perth, 1988/89"
69,Mushtaq Ahmed,"Pakistan v Sri Lanka at Sharjah, 1988/89"
70,Shahid Saeed,"Pakistan v West Indies at Sharjah, 1989/90"
71,Waqar Younis,"Pakistan v West Indies at Sharjah, 1989/90"
72,Sohail Fazal,"Pakistan v West Indies at Sharjah, 1989/90"
73,Akram Raza,"Australia v Pakistan at Mumbai (BS), 1989/90"
74,Maqsood Rana,"Australia v Pakistan at Melbourne, 1989/90"
75,Nadeem Ghauri,"Australia v Pakistan at Melbourne, 1989/90"
76,Sajjad Akbar,"India v Pakistan at Sharjah, 1990"
77,Mansoor Rana,"Pakistan v Sri Lanka at Sharjah, 1990"
78,Zahid Fazal,"Pakistan v New Zealand at Sialkot, 1990/91"
79,Moin Khan,"Pakistan v West Indies at Multan, 1990/91"
80,Aamer Sohail,"Pakistan v Sri Lanka at Sharjah, 1990/91"
81,Inzamam-ul-Haq,"Pakistan v West Indies at Lahore, 1991/92"
82,Iqbal Sikander,"Pakistan v West Indies at Melbourne, 1991/92"
83,Wasim Haider,"Pakistan v West Indies at Melbourne, 1991/92"
84,Tanvir Mehdi,"England v Pakistan at The Oval, 1992"
85,Rashid Latif,"England v Pakistan at Nottingham, 1992"
