cap_no,name,ground_year
86,Ata-ur-Rehman,"Pakistan v West Indies at Perth, 1992/93"
87,Arshad Khan,"Pakistan v Zimbabwe at Sharjah, 1992/93"
88,Ghulam Ali,"Pakistan v West Indies at Cape Town, 1992/93"
89,Basit Ali,"West Indies v Pakistan at Kingston, 1992/93"
90,Aamer Nazir,"West Indies v Pakistan at Port of Spain, 1992/93"
91,Nadeem Khan,"West Indies v Pakistan at Port of Spain, 1992/93"
92,Aamer Hanif,"Pakistan v Sri Lanka at Sharjah, 1993/94"
93,Irfan Bhatti,"Pakistan v Zimbabwe at Lahore, 1993/94"
94,Ashfaq Ahmed,"Sri Lanka v Pakistan at Colombo (RPS), 1994"
95,Kabir Khan,"Sri Lanka v Pakistan at Colombo (SSC), 1994"
96,Shakeel Ahmed jnr,"Zimbabwe v Pakistan at Harare, 1994/95"
97,Naeem Ashraf,"India v Pakistan at Sharjah, 1994/95"
98,Zafar Iqbal,"India v Pakistan at Sharjah, 1994/95"
99,Javed Qadeer,"Pakistan v Sri Lanka at Sharjah, 1994/95"
100,Mahmood Hamid,"Pakistan v Sri Lanka at Sharjah, 1994/95"
101,Mohammad Akram,"Pakistan v Sri Lanka at Gujranwala, 1995/96"
102,Saleem Elahi,"Pakistan v Sri Lanka at Gujranwala, 1995/96"
103,Saqlain Mushtaq,"Pakistan v Sri Lanka at Gujranwala, 1995/96"
104,Saeed Azad,"Pakistan v Sri Lanka at Rawalpindi, 1995/96"
105,Shadab Kabir,"England v Pakistan at Nottingham, 1996"
106,Shahid Anwar,"England v Pakistan at Nottingham, 1996"
107,Shahid Nazir,"England v Pakistan at Nottingham, 1996"
108,Azhar Mahmood,"India v Pakistan at Toronto, 1996"
109,Shahid Afridi,"Kenya v Pakistan at Nairobi (Aga), 1996/97"
110,Hasan Raza,"Pakistan v Zimbabwe at Quetta, 1996/97"
111,Abdul Razzaq,"Pakistan v Zimbabwe at Lahore, 1996/97"
112,Azam Khan,"Pakistan v Zimbabwe at Lahore, 1996/97"
113,Zahoor Elahi,"Pakistan v Zimbabwe at Peshawar, 1996/97"
114,Mohammad Wasim,"Pakistan v New Zealand at Karachi, 1996/97"
115,Mohammad Zahid,"Pakistan v New Zealand at Karachi, 1996/97"
116,Mujahid Jamshed,"Australia v Pakistan at Hobart, 1996/97"
117,Ijaz Ahmed jnr,"Pakistan v West Indies at Perth, 1996/97"
118,Mohammad Hussain,"New Zealand v Pakistan at Mohali, 1997"
119,Akhtar Sarfraz,"Pakistan v West Indies at Sharjah, 1997/98"
120,Manzoor Akhtar,"India v Pakistan at Sharjah, 1997/98"
121,Fazl-e-Akbar,"India v Pakistan at Dhaka, 1997/98"
122,Mohammad Yousuf,"Zimbabwe v Pakistan at Harare, 1997/98"
123,Shoaib Akhtar,"Zimbabwe v Pakistan at Harare, 1997/98"
124,Asif Mahmood,"Pakistan v Australia at Peshawar, 1998/99"
125,Wajahatullah Wasti,"Bangladesh v Pakistan at Dhaka, 1998/99"
126,Imran Nazir,"Pakistan v Sri Lanka at Visakhapatnam, 1998/99"
127,Shabbir Ahmed,"Pakistan v West Indies at Toronto, 1999"
128,Shoaib Malik,"Pakistan v West Indies at Sharjah, 1999/00"
129,Imran Abbas,"Pakistan v Sri Lanka at Karachi, 1999/00"
130,Yasir Arafat,"Pakistan v Sri Lanka at Karachi, 1999/00"
131,Younis Khan,"Pakistan v Sri Lanka at Karachi, 1999/00"
132,Faisal Iqbal,"Pakistan v Sri Lanka at Lahore, 1999/00"
133,Irfan Fazil,"West Indies v Pakistan at St George's, 2000"
134,Atiq-uz-Zaman,"New Zealand v Pakistan at Singapore, 2000"
135,Imran Farhat,"New Zealand v Pakistan at Auckland, 2000/01"
136,Humayun Farhat,"Pakistan v Sri Lanka at Sharjah, 2000/01"
137,Mohammad Sami,"Pakistan v Sri Lanka at Sharjah, 2000/01"
138,Kashif Raza,"Pakistan v Sri Lanka at Sharjah, 2000/01"
139,Taufeeq Umar,"Pakistan v Sri Lanka at Sharjah, 2001/02"
140,Danish Kaneria,"Pakistan v Zimbabwe at Sharjah, 2001/02"
141,Naved Latif,"Pakistan v Zimbabwe at Sharjah, 2001/02"
142,Misbah-ul-Haq,"Pakistan v New Zealand at Lahore, 2002"
143,Kamran Akmal,"Zimbabwe v Pakistan at Bulawayo, 2002/03"
144,Mohammad Hafeez,"Pakistan v Zimbabwe at Sharjah, 2002/03"
145,Umar Gul,"Pakistan v Zimbabwe at Sharjah, 2002/03"
146,Naved-ul-Hasan,"Pakistan v Sri Lanka at Sharjah, 2002/03"
147,Yasir Hameed,"New Zealand v Pakistan at Dambulla, 2003"
148,Faisal Athar,"New Zealand v Pakistan at Dambulla, 2003"
149,Junaid Zia,"Pakistan v Bangladesh at Multan, 2003"
150,Salman Butt,"Pakistan v West Indies at Southampton, 2004"
151,Bazid Khan,"Pakistan v Zimbabwe at Multan, 2004/05"
152,Iftikhar Anjum,"Pakistan v Zimbabwe at Multan, 2004/05"
153,Mohammad Khalil,"Australia v Pakistan at Perth, 2004/05"
154,Mohammad Asif,"Pakistan v England at Rawalpindi, 2005/06"
155,Abdur Rehman,"Pakistan v West Indies at Faisalabad, 2006/07"
156,Fawad Alam,"Pakistan v Sri Lanka at Abu Dhabi, 2007"
157,Najaf Shah,"Pakistan v Sri Lanka at Abu Dhabi, 2007"
158,Sohail Tanvir,"Pakistan v South Africa at Lahore, 2007/08"
159,Sarfaraz Ahmed,"India v Pakistan at Jaipur, 2007/08"
160,Nasir Jamshed,"Pakistan v Zimbabwe at Karachi, 2007/08"
161,Samiullah Khan,"Pakistan v Zimbabwe at Karachi, 2007/08"
162,Kamran Hussain,"Pakistan v Zimbabwe at Multan, 2007/08"
163,Khalid Latif,"Pakistan v Zimbabwe at Faisalabad, 2007/08"
164,Sohail Khan,"Pakistan v Zimbabwe at Faisalabad, 2007/08"
165,Abdur Rauf,"Pakistan v Zimbabwe at Sheikhupura, 2007/08"
166,Khurram Manzoor,"Pakistan v Zimbabwe at Sheikhupura, 2007/08"
167,Rizwan Ahmed,"Pakistan v Zimbabwe at Sheikhupura, 2007/08"
168,Wahab Riaz,"Pakistan v Zimbabwe at Sheikhupura, 2007/08"
169,Naumanullah,"Pakistan v Bangladesh at Karachi, 2007/08"
170,Mansoor Amjad,"Pakistan v Sri Lanka at Karachi, 2008"
171,Saeed Ajmal,"Pakistan v India at Karachi, 2008"
172,Ahmed Shehzad,"Australia v Pakistan at Dubai (DSC), 2009"
173,Mohammad Amir,"Sri Lanka v Pakistan at Dambulla, 2009"
174,Umar Akmal,"Sri Lanka v Pakistan at Dambulla, 2009"
175,Shahzaib Hasan,"Sri Lanka v Pakistan at Dambulla, 2010"
176,Umar Amin,"Sri Lanka v Pakistan at Dambulla, 2010"
177,Asad Shafiq,"Bangladesh v Pakistan at Dambulla, 2010"
178,Mohammad Irfan,"England v Pakistan at Chester-le-Street, 2010"
179,Zulqarnain Haider,"Pakistan v South Africa at Abu Dhabi, 2010/11"
180,Hammad Azam,"West Indies v Pakistan at Gros Islet, 2011"
181,Junaid Khan,"West Indies v Pakistan at Gros Islet, 2011"
182,Mohammad Salman,"West Indies v Pakistan at Gros Islet, 2011"
183,Tanvir Ahmed,"West Indies v Pakistan at Bridgetown, 2011"
184,Usman Salahuddin,"West Indies v Pakistan at Bridgetown, 2011"
185,Azhar Ali,"Ireland v Pakistan at Belfast, 2011"
186,Adnan Akmal,"Zimbabwe v Pakistan at Bulawayo, 2011"
187,Aizaz Cheema,"Zimbabwe v Pakistan at Bulawayo, 2011"
188,Yasir Shah,"Zimbabwe v Pakistan at Harare, 2011"
189,Rahat Ali,"Sri Lanka v Pakistan at Pallekele, 2012"
190,Ehsan Adil,"Scotland v Pakistan at Edinburgh, 2013"
191,Asad Ali,"Ireland v Pakistan at Dublin, 2013"
192,Haris Sohail,"West Indies v Pakistan at Gros Islet, 2013"
193,Sohaib Maqsood,"Pakistan v South Africa at Abu Dhabi, 2013/14"
194,Anwar Ali,"South Africa v Pakistan at Cape Town, 2013/14"
195,Bilawal Bhatti,"South Africa v Pakistan at Cape Town, 2013/14"
196,Sharjeel Khan,"Pakistan v Sri Lanka at Sharjah, 2013/14"
197,Mohammad Talha,"India v Pakistan at Dhaka, 2013/14"
198,Zulfiqar Babar,"Australia v Pakistan at Sharjah, 2014/15"
199,Raza Hasan,"Australia v Pakistan at Dubai (DSC), 2014/15"
200,Mohammad Rizwan,"Bangladesh v Pakistan at Dhaka, 2015"
201,Saad Nasim,"Bangladesh v Pakistan at Dhaka, 2015"
202,Sami Aslam,"Bangladesh v Pakistan at Dhaka, 2015"
203,Babar Azam,"Pakistan v Zimbabwe at Lahore, 2015"
204,Imad Wasim,"Sri Lanka v Pakistan at Colombo (RPS), 2015"
205,Aamer Yamin,"Zimbabwe v Pakistan at Harare, 2015/16"
206,Bilal Asif,"Zimbabwe v Pakistan at Harare, 2015/16"
207,Iftikhar Ahmed,"England v Pakistan at Abu Dhabi, 2015/16"
208,Zafar Gohar,"England v Pakistan at Sharjah, 2015/16"
209,Hasan Ali,"Ireland v Pakistan at Dublin (Malahide), 2016"
210,Mohammad Nawaz (3),"Ireland v Pakistan at Dublin (Malahide), 2016"
211,Shadab Khan,"West Indies v Pakistan at Providence, 2017"
212,Fakhar Zaman,"Pakistan v South Africa at Birmingham, 2017"
213,Faheem Ashraf,"Pakistan v Sri Lanka at Cardiff, 2017"
214,Rumman Raees,"England v Pakistan at Cardiff, 2017"
215,Imam-ul-Haq,"Pakistan v Sri Lanka at Abu Dhabi, 2017/18"
216,Usman Shinwari,"Pakistan v Sri Lanka at Sharjah, 2017/18"
217,Asif Ali,"Zimbabwe v Pakistan at Bulawayo, 2018"
218,Shaheen Shah Afridi,"Afghanistan v Pakistan at Abu Dhabi, 2018"
219,Hussain Talat,"South Africa v Pakistan at Durban, 2018/19"
220,Mohammad Abbas,"Australia v Pakistan at Sharjah, 2018/19"
221,Shan Masood,"Australia v Pakistan at Sharjah, 2018/19"
222,Mohammad Hasnain,"Australia v Pakistan at Sharjah, 2018/19"
223,Abid Ali,"Australia v Pakistan at Dubai (DSC), 2018/19"
224,Saad Ali,"Australia v Pakistan at Dubai (DSC), 2018/19"
