cap_no,name,ground_year
1,Aqib Ilyas,"Namibia v Oman at Windhoek, 2019"
2,Bilal Khan,"Namibia v Oman at Windhoek, 2019"
3,Fayyaz Butt,"Namibia v Oman at Windhoek, 2019"
4,Jatinder Singh,"Namibia v Oman at Windhoek, 2019"
5,Kaleemullah,"Namibia v Oman at Windhoek, 2019"
6,Khawar Ali,"Namibia v Oman at Windhoek, 2019"
7,Khurram Nawaz,"Namibia v Oman at Windhoek, 2019"
8,Mohammad Nadeem,"Namibia v Oman at Windhoek, 2019"
9,Sandeep Goud,"Namibia v Oman at Windhoek, 2019"
10,Suraj Kumar,"Namibia v Oman at Windhoek, 2019"
11,Zeeshan Maqsood,"Namibia v Oman at Windhoek, 2019"
