cap_no,name,ground_year
1,Arshad Laeeq,"United Arab Emirates v India at Sharjah, 1993/94"
2,Azhar Saeed,"United Arab Emirates v India at Sharjah, 1993/94"
3,Imtiaz Abbasi,"United Arab Emirates v India at Sharjah, 1993/94"
4,Mazhar Hussain,"United Arab Emirates v India at Sharjah, 1993/94"
5,V Mehra,"United Arab Emirates v India at Sharjah, 1993/94"
6,Mohammad Ishaq,"United Arab Emirates v India at Sharjah, 1993/94"
7,RH Poonawala,"United Arab Emirates v India at Sharjah, 1993/94"
8,Saleem Raza,"United Arab Emirates v India at Sharjah, 1993/94"
9,JA Samarasekera,"United Arab Emirates v India at Sharjah, 1993/94"
10,Sohail Butt,"United Arab Emirates v India at Sharjah, 1993/94"
11,Sultan Zarawani,"United Arab Emirates v India at Sharjah, 1993/94"
12,SF Dukanwala,"South Africa v United Arab Emirates at Rawalpindi, 1995/96"
13,Mohammad Aslam,"South Africa v United Arab Emirates at Rawalpindi, 1995/96"
14,G Mylvaganam,"South Africa v United Arab Emirates at Rawalpindi, 1995/96"
15,Shehzad Altaf,"South Africa v United Arab Emirates at Rawalpindi, 1995/96"
16,Saeed-al-Saffar,"Netherlands v United Arab Emirates at Lahore, 1995/96"
17,Abdul Rehman,"India v United Arab Emirates at Dambulla, 2004"
18,Ali Asad,"India v United Arab Emirates at Dambulla, 2004"
19,Arshad Ali,"India v United Arab Emirates at Dambulla, 2004"
20,Asghar Ali,"India v United Arab Emirates at Dambulla, 2004"
21,Asim Saeed,"India v United Arab Emirates at Dambulla, 2004"
22,Fahad Usman,"India v United Arab Emirates at Dambulla, 2004"
23,Khurram Khan,"India v United Arab Emirates at Dambulla, 2004"
24,Mohammad Tauqir,"India v United Arab Emirates at Dambulla, 2004"
25,Naeemuddin Aslam,"India v United Arab Emirates at Dambulla, 2004"
26,Rizwan Latif,"India v United Arab Emirates at Dambulla, 2004"
27,Syed Maqsood,"India v United Arab Emirates at Dambulla, 2004"
28,Ramveer Rai,"Sri Lanka v United Arab Emirates at Dambulla, 2004"
29,Sameer Zia,"Sri Lanka v United Arab Emirates at Dambulla, 2004"
30,Amjad Ali,"Bangladesh v United Arab Emirates at Lahore, 2008"
31,Amjad Javed,"Bangladesh v United Arab Emirates at Lahore, 2008"
32,IPP Batuwitarachchi,"Bangladesh v United Arab Emirates at Lahore, 2008"
33,Fahad Alhashmi,"Bangladesh v United Arab Emirates at Lahore, 2008"
34,Saqib Ali,"Bangladesh v United Arab Emirates at Lahore, 2008"
35,V Shetty,"Bangladesh v United Arab Emirates at Lahore, 2008"
36,EHSN Silva,"Bangladesh v United Arab Emirates at Lahore, 2008"
37,Zahid Shah,"Bangladesh v United Arab Emirates at Lahore, 2008"
38,Alawi Shukri,"Sri Lanka v United Arab Emirates at Lahore, 2008"
39,Aman Ali,"Sri Lanka v United Arab Emirates at Lahore, 2008"
40,N Fernandes,"Sri Lanka v United Arab Emirates at Lahore, 2008"
41,Ahmed Raza,"Scotland v United Arab Emirates at Lincoln, 2013/14"
42,AM Guruge,"Scotland v United Arab Emirates at Lincoln, 2013/14"
43,Kamran Shazad,"Scotland v United Arab Emirates at Lincoln, 2013/14"
44,SP Patil,"Scotland v United Arab Emirates at Lincoln, 2013/14"
45,Rohan Mustafa,"Scotland v United Arab Emirates at Lincoln, 2013/14"
46,Salman Faris,"Scotland v United Arab Emirates at Lincoln, 2013/14"
47,Shaiman Anwar,"Scotland v United Arab Emirates at Lincoln, 2013/14"
48,Fayyaz Ahmed,"Afghanistan v United Arab Emirates at Kuala Lumpur, 2014"
49,Irfan Sajid,"Afghanistan v United Arab Emirates at Kuala Lumpur, 2014"
50,Krishna Chandran,"Afghanistan v United Arab Emirates at Kuala Lumpur, 2014"
