cap_no,name,ground_year
51,Mohammad Naveed,"Afghanistan v United Arab Emirates at Kuala Lumpur, 2014"
52,Mohammad Shahzad,"Afghanistan v United Arab Emirates at Kuala Lumpur, 2014"
53,AR Berenger,"United Arab Emirates v Afghanistan at ICCA Dubai, 2014/15"
54,Salman Farooq,"United Arab Emirates v Afghanistan at ICCA Dubai, 2014/15"
55,Nasir Aziz,"United Arab Emirates v Afghanistan at ICCA Dubai, 2014/15"
56,Saqlain Haider,"United Arab Emirates v Afghanistan at ICCA Dubai, 2014/15"
57,Abdul Shakoor,"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
58,Asif Iqbal (1),"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
59,Y Punja,"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
60,L Sreekumar,"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
61,Umair Ali,"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
62,Zaheer Maqsood,"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
63,Qadeer Ahmed,"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
64,Usman Mushtaq,"United Arab Emirates v Hong Kong at ICCA Dubai, 2015/16"
65,Muhammad Usman,"Scotland v United Arab Emirates at Edinburgh, 2016"
66,Rameez Shahzad,"Scotland v United Arab Emirates at Edinburgh, 2016"
67,Adnan Mufti,"United Arab Emirates v Scotland at Dubai (DSC), 2016/17"
68,Ghulam Shabber,"United Arab Emirates v Scotland at Dubai (DSC), 2016/17"
69,Imran Haider,"United Arab Emirates v Scotland at Dubai (DSC), 2016/17"
70,Mohammed Qasim,"United Arab Emirates v Scotland at Dubai (DSC), 2016/17"
71,Zahoor Khan,"United Arab Emirates v Scotland at Dubai (DSC), 2016/17"
72,Ashfaq Ahmed,"United Arab Emirates v Ireland at ICCA Dubai, 2017/18"
73,Mohammad Boota,"United Arab Emirates v Ireland at ICCA Dubai, 2017/18"
74,Amir Hayat,"United Arab Emirates v Scotland at ICCA Dubai, 2017/18"
75,Chirag Suri,"United Arab Emirates v West Indies at Harare, 2017/18"
76,Fahad Nawaz,"United Arab Emirates v Nepal at ICCA Dubai, 2018/19"
77,CP Rizwan,"United Arab Emirates v Nepal at ICCA Dubai, 2018/19"
78,Sultan Ahmed,"Zimbabwe v United Arab Emirates at Harare, 2019"
