cap_no,name,ground_year
79,SP Mukherjee,"India v Bangladesh at Chandigarh, 1990/91"
80,VG Kambli,"India v Pakistan at Sharjah, 1991/92"
81,J Srinath,"India v Pakistan at Sharjah, 1991/92"
82,PK Amre,"India v South Africa at Kolkata, 1991/92"
83,ST Banerjee,"India v West Indies at Perth, 1991/92"
84,SC Ganguly,"India v West Indies at Brisbane, 1991/92"
85,A Jadeja,"India v Sri Lanka at Mackay, 1991/92"
86,V Yadav,"South Africa v India at Bloemfontein, 1992/93"
87,RK Chauhan,"Sri Lanka v India at Colombo (RPS), 1993"
88,NR Mongia,"India v Sri Lanka at Rajkot, 1993/94"
89,BKV Prasad,"New Zealand v India at Christchurch, 1993/94"
90,AC Bedade,"United Arab Emirates v India at Sharjah, 1993/94"
91,Bhupinder Singh snr,"United Arab Emirates v India at Sharjah, 1993/94"
92,AR Kapoor,"Australia v India at Dunedin, 1994/95"
93,PS Vaidya,"Australia v India at Dunedin, 1994/95"
94,U Chatterjee,"Bangladesh v India at Sharjah, 1994/95"
95,R Dravid,"India v Sri Lanka at Singapore, 1995/96"
96,V Rathour,"India v Pakistan at Sharjah, 1995/96"
97,PL Mhambrey,"England v India at The Oval, 1996"
98,SB Joshi,"India v Zimbabwe at Colombo (SSC), 1996"
99,S Somasunder,"India v South Africa at Hyderabad (Deccan), 1996/97"
100,P Dharmani,"India v South Africa at Jaipur, 1996/97"
101,SS Karim,"South Africa v India at Bloemfontein, 1996/97"
102,D Ganesh,"Zimbabwe v India at Bulawayo, 1996/97"
103,A Kuruvilla,"West Indies v India at Port of Spain, 1996/97"
104,NA David,"West Indies v India at Port of Spain, 1996/97"
105,NM Kulkarni,"Sri Lanka v India at Colombo (RPS), 1997"
106,Harvinder Singh,"India v Pakistan at Toronto, 1997"
107,DS Mohanty,"India v Pakistan at Toronto, 1997"
108,SV Bahutule,"India v Sri Lanka at Guwahati, 1997/98"
109,HH Kanitkar,"India v Sri Lanka at Indore, 1997/98"
110,RL Sanghvi,"India v Pakistan at Dhaka, 1997/98"
111,AB Agarkar,"India v Australia at Kochi, 1997/98"
112,VVS Laxman,"India v Zimbabwe at Cuttack, 1997/98"
113,Harbhajan Singh,"India v New Zealand at Sharjah, 1997/98"
114,GK Khoda,"India v Bangladesh at Mohali, 1998"
115,MSK Prasad,"India v Bangladesh at Mohali, 1998"
116,N Chopra,"India v Kenya at Gwalior, 1998"
117,JV Paranjpe,"India v Kenya at Gwalior, 1998"
118,SS Raul,"India v Pakistan at Toronto, 1998"
119,LR Shukla,"India v Sri Lanka at Nagpur, 1998/99"
120,GK Pandey,"India v Pakistan at Jaipur, 1998/99"
121,AR Khurasiya,"India v Sri Lanka at Pune, 1998/99"
122,S Ramesh,"India v Sri Lanka at Pune, 1998/99"
123,V Sehwag,"India v Pakistan at Mohali, 1998/99"
124,JJ Martin,"India v West Indies at Toronto, 1999"
125,R Vijay Bharadwaj,"India v South Africa at Nairobi (Gym), 1999/00"
126,T Kumaran,"India v New Zealand at Guwahati, 1999/00"
127,DJ Gandhi,"India v New Zealand at Delhi, 1999/00"
128,SS Dighe,"India v Pakistan at Brisbane, 1999/00"
129,S Sriram,"India v South Africa at Nagpur, 1999/00"
130,HK Badani,"Bangladesh v India at Dhaka, 2000"
131,A Bhandari,"India v Pakistan at Dhaka, 2000"
132,V Dahiya,"Kenya v India at Nairobi (Gym), 2000/01"
133,Z Khan,"Kenya v India at Nairobi (Gym), 2000/01"
134,Yuvraj Singh,"Kenya v India at Nairobi (Gym), 2000/01"
135,RS Sodhi,"India v Zimbabwe at Cuttack, 2000/01"
136,D Mongia,"India v Australia at Pune, 2000/01"
137,A Nehra,"Zimbabwe v India at Harare, 2001"
138,SS Das,"South Africa v India at Johannesburg, 2001/02"
139,D Dasgupta,"South Africa v India at Johannesburg, 2001/02"
140,A Ratra,"India v England at Kolkata, 2001/02"
141,SB Bangar,"India v England at Chennai, 2001/02"
142,M Kaif,"India v England at Kanpur, 2001/02"
143,Sarandeep Singh,"India v England at Delhi, 2001/02"
144,M Kartik,"India v Zimbabwe at Hyderabad (Deccan), 2001/02"
145,T Yohannan,"West Indies v India at Bridgetown, 2002"
146,Jai P Yadav,"India v West Indies at Jamshedpur, 2002/03"
147,L Balaji,"India v West Indies at Vadodara, 2002/03"
148,PA Patel,"New Zealand v India at Queenstown, 2002/03"
149,G Gambhir,"Bangladesh v India at Dhaka, 2003"
150,AM Salvi,"Bangladesh v India at Dhaka, 2003"
151,A Mishra,"India v South Africa at Dhaka, 2003"
152,AV Kale,"Bangladesh v India at Dhaka, 2003"
153,IK Pathan,"Australia v India at Melbourne, 2003/04"
154,RS Gavaskar,"Australia v India at Brisbane, 2003/04"
155,RR Powar,"Pakistan v India at Rawalpindi, 2003/04"
156,KD Karthik,"England v India at Lord's, 2004"
157,MS Dhoni,"Bangladesh v India at Chittagong, 2004/05"
158,Joginder Sharma,"Bangladesh v India at Chittagong, 2004/05"
159,SK Raina,"Sri Lanka v India at Dambulla, 2005"
160,Y Venugopal Rao,"Sri Lanka v India at Dambulla, 2005"
161,RP Singh,"Zimbabwe v India at Harare, 2005"
162,S Sreesanth,"India v Sri Lanka at Nagpur, 2005/06"
163,MM Patel,"India v England at Margao, 2005/06"
164,VRV Singh,"India v England at Jamshedpur, 2005/06"
165,RV Uthappa,"India v England at Indore, 2005/06"
166,W Jaffer,"South Africa v India at Durban, 2006/07"
167,PP Chawla,"Bangladesh v India at Dhaka, 2007"
168,RG Sharma,"Ireland v India at Belfast, 2007"
169,I Sharma,"India v South Africa at Belfast, 2007"
170,P Kumar,"India v Pakistan at Jaipur, 2007/08"
171,MK Tiwary,"Australia v India at Brisbane, 2007/08"
172,YK Pathan,"India v Pakistan at Dhaka, 2008"
173,MS Gony,"Hong Kong v India at Karachi, 2008"
174,PP Ojha,"Bangladesh v India at Karachi, 2008"
175,V Kohli,"Sri Lanka v India at Dambulla, 2008"
176,S Badrinath,"Sri Lanka v India at Dambulla, 2008"
177,RA Jadeja,"Sri Lanka v India at Colombo (RPS), 2008/09"
178,AM Nayar,"West Indies v India at Gros Islet, 2009"
179,S Tyagi,"India v Sri Lanka at Delhi, 2009/10"
180,A Mithun,"India v South Africa at Ahmedabad, 2009/10"
181,M Vijay,"India v South Africa at Ahmedabad, 2009/10"
182,AB Dinda,"Zimbabwe v India at Bulawayo, 2010"
183,R Vinay Kumar,"Zimbabwe v India at Bulawayo, 2010"
184,UT Yadav,"Zimbabwe v India at Bulawayo, 2010"
185,R Ashwin,"India v Sri Lanka at Harare, 2010"
186,NV Ojha,"India v Sri Lanka at Harare, 2010"
187,Pankaj Singh,"India v Sri Lanka at Harare, 2010"
188,S Dhawan,"India v Australia at Visakhapatnam, 2010/11"
189,SS Tiwary,"India v Australia at Visakhapatnam, 2010/11"
190,WP Saha,"India v New Zealand at Guwahati, 2010/11"
191,AM Rahane,"England v India at Chester-le-Street, 2011"
192,VR Aaron,"India v England at Mumbai, 2011/12"
193,R Sharma,"India v West Indies at Indore, 2011/12"
194,B Kumar,"India v Pakistan at Chennai, 2012/13"
195,Mohammed Shami,"India v Pakistan at Delhi, 2012/13"
196,AT Rayudu,"Zimbabwe v India at Harare, 2013"
197,JD Unadkat,"Zimbabwe v India at Harare, 2013"
198,CA Pujara,"Zimbabwe v India at Bulawayo, 2013"
199,MM Sharma,"Zimbabwe v India at Bulawayo, 2013"
200,STR Binny,"New Zealand v India at Hamilton, 2013/14"
201,Parvez Rasool,"Bangladesh v India at Dhaka, 2014"
202,AR Patel,"Bangladesh v India at Dhaka, 2014"
203,DS Kulkarni,"England v India at Birmingham, 2014"
204,KV Sharma,"India v Sri Lanka at Kolkata, 2014/15"
205,KM Jadhav,"India v Sri Lanka at Ranchi, 2014/15"
206,MK Pandey,"Zimbabwe v India at Harare, 2015"
207,BB Sran,"Australia v India at Perth, 2015/16"
208,R Dhawan,"Australia v India at Melbourne, 2015/16"
209,Gurkeerat Singh,"Australia v India at Melbourne, 2015/16"
210,JJ Bumrah,"Australia v India at Sydney, 2015/16"
211,YS Chahal,"Zimbabwe v India at Harare, 2016"
212,KK Nair,"Zimbabwe v India at Harare, 2016"
213,KL Rahul,"Zimbabwe v India at Harare, 2016"
214,FY Fazal,"Zimbabwe v India at Harare, 2016"
215,HH Pandya,"India v New Zealand at Dharamsala, 2016/17"
216,J Yadav,"India v New Zealand at Visakhapatnam, 2016/17"
217,Kuldeep Yadav,"West Indies v India at Port of Spain, 2017"
218,SN Thakur,"Sri Lanka v India at Colombo (RPS), 2017"
219,SS Iyer,"India v Sri Lanka at Dharamsala, 2017/18"
220,Washington Sundar,"India v Sri Lanka at Mohali, 2017/18"
221,S Kaul,"England v India at Nottingham, 2018"
222,KK Ahmed,"Hong Kong v India at Dubai (DSC), 2018"
223,DL Chahar,"Afghanistan v India at Dubai (DSC), 2018"
224,RR Pant,"India v West Indies at Guwahati, 2018/19"
225,Mohammed Siraj,"Australia v India at Adelaide, 2018/19"
226,V Shankar,"Australia v India at Melbourne, 2018/19"
227,Shubman Gill,"New Zealand v India at Hamilton, 2018/19"
