cap_no,name,ground_year
1,S Abid Ali,"England v India at Leeds, 1974"
2,BS Bedi,"England v India at Leeds, 1974"
3,FM Engineer,"England v India at Leeds, 1974"
4,SM Gavaskar,"England v India at Leeds, 1974"
5,S Madan Lal,"England v India at Leeds, 1974"
6,SS Naik,"England v India at Leeds, 1974"
7,BP Patel,"England v India at Leeds, 1974"
8,ED Solkar,"England v India at Leeds, 1974"
9,S Venkataraghavan,"England v India at Leeds, 1974"
10,GR Viswanath,"England v India at Leeds, 1974"
11,AL Wadekar,"England v India at Leeds, 1974"
12,GK Bose,"England v India at The Oval, 1974"
13,AV Mankad,"England v India at The Oval, 1974"
14,M Amarnath,"England v India at Lord's, 1975"
15,AD Gaekwad,"England v India at Lord's, 1975"
16,KD Ghavri,"England v India at Lord's, 1975"
17,SMH Kirmani,"New Zealand v India at Christchurch, 1975/76"
18,PH Sharma,"New Zealand v India at Christchurch, 1975/76"
19,DB Vengsarkar,"New Zealand v India at Christchurch, 1975/76"
20,BS Chandrasekhar,"New Zealand v India at Auckland, 1975/76"
21,P Krishnamurthy,"New Zealand v India at Auckland, 1975/76"
22,R Sudhakar Rao,"New Zealand v India at Auckland, 1975/76"
23,S Amarnath,"Pakistan v India at Quetta, 1978/79"
24,CPS Chauhan,"Pakistan v India at Quetta, 1978/79"
25,N Kapil Dev,"Pakistan v India at Quetta, 1978/79"
26,Yashpal Sharma,"Pakistan v India at Sialkot, 1978/79"
27,B Reddy,"Pakistan v India at Sahiwal, 1978/79"
28,SC Khanna,"India v West Indies at Birmingham, 1979"
29,KBJ Azad,"Australia v India at Melbourne, 1980/81"
30,RMH Binny,"Australia v India at Melbourne, 1980/81"
31,DR Doshi,"Australia v India at Melbourne, 1980/81"
32,SM Patil,"Australia v India at Melbourne, 1980/81"
33,TE Srinivasan,"Australia v India at Melbourne, 1980/81"
34,B Yograj Singh,"India v New Zealand at Brisbane, 1980/81"
35,Randhir Singh,"India v England at Ahmedabad, 1981/82"
36,RJ Shastri,"India v England at Ahmedabad, 1981/82"
37,K Srikkanth,"India v England at Ahmedabad, 1981/82"
38,SV Nayak,"India v England at Jalandhar, 1981/82"
39,J Arun Lal,"India v England at Cuttack, 1981/82"
40,AO Malhotra,"India v England at Cuttack, 1981/82"
41,GAHM Parkar,"England v India at Leeds, 1982"
42,BS Sandhu,"Pakistan v India at Gujranwala, 1982/83"
43,Maninder Singh,"Pakistan v India at Karachi, 1982/83"
44,TAP Sekhar,"Pakistan v India at Karachi, 1982/83"
45,C Sharma,"India v West Indies at Jamshedpur, 1983/84"
46,RR Kulkarni,"India v West Indies at Guwahati, 1983/84"
47,M Prabhakar,"India v Sri Lanka at Sharjah, 1983/84"
48,AK Patel,"India v Australia at New Delhi, 1984/85"
49,RS Ghai,"India v England at Pune, 1984/85"
50,KS More,"India v England at Pune, 1984/85"
51,M Azharuddin,"India v England at Bengaluru, 1984/85"
52,S Viswanath,"India v England at Bengaluru, 1984/85"
53,LS Rajput,"India v England at Nagpur, 1984/85"
54,L Sivaramakrishnan,"India v Pakistan at Melbourne, 1984/85"
55,G Sharma,"Sri Lanka v India at Colombo (SSC), 1985"
56,NS Yadav,"India v New Zealand at Brisbane, 1985/86"
57,CS Pandit,"India v New Zealand at Sharjah, 1985/86"
58,R Lamba,"India v Australia at Jaipur, 1986/87"
59,RP Singh,"India v Australia at Hyderabad (Deccan), 1986/87"
60,B Arun,"India v Sri Lanka at Kanpur, 1986/87"
61,NS Sidhu,"India v Australia at Chennai, 1987/88"
62,Arshad Ayub,"India v West Indies at Nagpur, 1987/88"
63,WV Raman,"India v West Indies at Kolkata, 1987/88"
64,AK Sharma,"India v West Indies at Kolkata, 1987/88"
65,SK Sharma,"India v West Indies at Kolkata, 1987/88"
66,SV Manjrekar,"India v West Indies at Rajkot, 1987/88"
67,ND Hirwani,"India v West Indies at Gwalior, 1987/88"
68,VB Chandrasekhar,"India v New Zealand at Visakhapatnam, 1988/89"
69,RGM Patel,"India v New Zealand at Vadodara, 1988/89"
70,M Venkataramana,"India v New Zealand at Vadodara, 1988/89"
71,RR Singh,"West Indies v India at Port of Spain, 1988/89"
72,SA Ankola,"Pakistan v India at Gujranwala, 1989/90"
73,V Razdan,"Pakistan v India at Gujranwala, 1989/90"
74,SR Tendulkar,"Pakistan v India at Gujranwala, 1989/90"
75,SLV Raju,"New Zealand v India at Dunedin, 1989/90"
76,AS Wassan,"New Zealand v India at Dunedin, 1989/90"
77,Gursharan Singh,"Australia v India at Hamilton, 1989/90"
78,A Kumble,"India v Sri Lanka at Sharjah, 1990"
