cap_no,name,ground_year
1,MG Burgess,"New Zealand v Pakistan at Christchurch, 1972/73"
2,RO Collinge,"New Zealand v Pakistan at Christchurch, 1972/73"
3,PG Coman,"New Zealand v Pakistan at Christchurch, 1972/73"
4,BE Congdon,"New Zealand v Pakistan at Christchurch, 1972/73"
5,DR Hadlee,"New Zealand v Pakistan at Christchurch, 1972/73"
6,Sir RJ Hadlee,"New Zealand v Pakistan at Christchurch, 1972/73"
7,BF Hastings,"New Zealand v Pakistan at Christchurch, 1972/73"
8,HJ Howarth,"New Zealand v Pakistan at Christchurch, 1972/73"
9,GM Turner,"New Zealand v Pakistan at Christchurch, 1972/73"
10,GE Vivian,"New Zealand v Pakistan at Christchurch, 1972/73"
11,KJ Wadsworth,"New Zealand v Pakistan at Christchurch, 1972/73"
12,V Pollard,"England v New Zealand at Swansea, 1973"
13,RE Redmond,"England v New Zealand at Swansea, 1973"
14,BR Taylor,"England v New Zealand at Swansea, 1973"
15,BL Cairns,"New Zealand v Australia at Dunedin, 1973/74"
16,DR O'Sullivan,"New Zealand v Australia at Dunedin, 1973/74"
17,JM Parker,"New Zealand v Australia at Christchurch, 1973/74"
18,BG Hadlee,"New Zealand v England at Dunedin, 1974/75"
19,GP Howarth,"New Zealand v England at Dunedin, 1974/75"
20,JFM Morrison,"New Zealand v England at Wellington, 1974/75"
21,BJ McKechnie,"East Africa v New Zealand at Birmingham, 1975"
22,GN Edwards,"New Zealand v India at Christchurch, 1975/76"
23,RW Anderson,"Pakistan v New Zealand at Sialkot, 1976/77"
24,NM Parker,"Pakistan v New Zealand at Sialkot, 1976/77"
25,ADG Roberts,"Pakistan v New Zealand at Sialkot, 1976/77"
26,GB Troup,"Pakistan v New Zealand at Sialkot, 1976/77"
27,SL Boock,"England v New Zealand at Scarborough, 1978"
28,JG Wright,"England v New Zealand at Scarborough, 1978"
29,BP Bracewell,"England v New Zealand at Manchester, 1978"
30,BA Edgar,"England v New Zealand at Manchester, 1978"
31,JV Coney,"New Zealand v Sri Lanka at Nottingham, 1979"
32,WK Lees,"New Zealand v Sri Lanka at Nottingham, 1979"
33,LW Stott,"New Zealand v Sri Lanka at Nottingham, 1979"
34,EJ Chatfield,"New Zealand v West Indies at Nottingham, 1979"
35,PE McEwan,"New Zealand v West Indies at Christchurch, 1979/80"
36,JF Reid,"New Zealand v West Indies at Christchurch, 1979/80"
37,MC Snedden,"Australia v New Zealand at Adelaide, 1980/81"
38,IDS Smith,"Australia v New Zealand at Sydney, 1980/81"
