cap_no,name,ground_year
39,GK Robertson,"New Zealand v India at Hamilton, 1980/81"
40,MD Crowe,"New Zealand v Australia at Auckland, 1981/82"
41,BR Blair,"New Zealand v Australia at Dunedin, 1981/82"
42,JJ Crowe,"Australia v New Zealand at Melbourne, 1982/83"
43,PN Webb,"Australia v New Zealand at Melbourne, 1982/83"
44,RJ Webb,"Australia v New Zealand at Melbourne, 1982/83"
45,TJ Franklin,"Australia v New Zealand at Sydney, 1982/83"
46,JG Bracewell,"New Zealand v Pakistan at Birmingham, 1983"
47,DA Stirling,"Sri Lanka v New Zealand at Moratuwa, 1983/84"
48,EJ Gray,"Sri Lanka v New Zealand at Moratuwa, 1984/85"
49,RT Hart,"West Indies v New Zealand at St John's, 1984/85"
50,KR Rutherford,"West Indies v New Zealand at Port of Spain, 1984/85"
51,EB McSweeney,"Australia v New Zealand at Melbourne, 1985/86"
52,SR Gillespie,"India v New Zealand at Brisbane, 1985/86"
53,TE Blain,"New Zealand v Australia at Dunedin, 1985/86"
54,W Watson,"Sri Lanka v New Zealand at Colombo (RPS), 1985/86"
55,PA Horne,"New Zealand v West Indies at Dunedin, 1986/87"
56,DN Patel,"New Zealand v West Indies at Dunedin, 1986/87"
57,AH Jones,"New Zealand v Zimbabwe at Hyderabad (Deccan), 1987/88"
58,DK Morrison,"India v New Zealand at Nagpur, 1987/88"
59,VR Brown,"Australia v New Zealand at Brisbane, 1987/88"
60,MJ Greatbatch,"New Zealand v England at Dunedin, 1987/88"
61,CM Kuggeleijn,"New Zealand v England at Dunedin, 1987/88"
62,RB Reid,"New Zealand v England at Dunedin, 1987/88"
63,RH Vance,"New Zealand v England at Napier, 1987/88"
64,GR Larsen,"New Zealand v India at Dunedin, 1989/90"
65,SJ Roberts,"New Zealand v India at Dunedin, 1989/90"
66,SA Thomson,"New Zealand v India at Dunedin, 1989/90"
67,JP Millmow,"Australia v New Zealand at Sharjah, 1990"
68,MW Priest,"Australia v New Zealand at Sharjah, 1990"
69,C Pringle,"England v New Zealand at Leeds, 1990"
70,DJ White,"Pakistan v New Zealand at Lahore, 1990/91"
71,GE Bradburn,"Pakistan v New Zealand at Peshawar, 1990/91"
72,CZ Harris,"Australia v New Zealand at Sydney, 1990/91"
73,RG Petrie,"Australia v New Zealand at Sydney, 1990/91"
74,RT Latham,"England v New Zealand at Adelaide, 1990/91"
75,BA Young,"Australia v New Zealand at Melbourne, 1990/91"
76,CL Cairns,"New Zealand v England at Wellington, 1990/91"
77,ML Su'a,"New Zealand v England at Dunedin, 1991/92"
78,SB Doull,"Zimbabwe v New Zealand at Bulawayo, 1992/93"
79,DJ Nash,"Zimbabwe v New Zealand at Bulawayo, 1992/93"
80,AC Parore,"Zimbabwe v New Zealand at Bulawayo, 1992/93"
81,BR Hartland,"Zimbabwe v New Zealand at Harare, 1992/93"
82,JTC Vaughan,"Sri Lanka v New Zealand at Colombo (RPS), 1992/93"
83,MJ Haslam,"Sri Lanka v New Zealand at Colombo (RPS), 1992/93"
84,MB Owens,"Sri Lanka v New Zealand at Colombo (RPS), 1992/93"
85,JW Wilson,"New Zealand v Australia at Dunedin, 1992/93"
86,RP de Groen,"Australia v New Zealand at Melbourne, 1993/94"
87,MN Hart,"New Zealand v Pakistan at Auckland, 1993/94"
88,SP Fleming,"New Zealand v India at Napier, 1993/94"
89,MW Douglas,"Australia v New Zealand at Sharjah, 1993/94"
90,HT Davis,"New Zealand v Sri Lanka at Sharjah, 1993/94"
91,DJ Murray,"India v New Zealand at Delhi, 1994/95"
92,LK Germon,"New Zealand v Sri Lanka at Bloemfontein, 1994/95"
93,NJ Astle,"New Zealand v West Indies at Auckland, 1994/95"
94,RL Hayes,"New Zealand v West Indies at Christchurch, 1994/95"
95,RG Twose,"India v New Zealand at Jamshedpur, 1995/96"
96,CM Spearman,"New Zealand v Pakistan at Dunedin, 1995/96"
97,RJ Kennedy,"New Zealand v Zimbabwe at Wellington, 1995/96"
98,GI Allott,"New Zealand v England at Napier, 1996/97"
99,MJ Horne,"New Zealand v Sri Lanka at Christchurch, 1996/97"
100,DL Vettori,"New Zealand v Sri Lanka at Christchurch, 1996/97"
101,AJ Penn,"New Zealand v Sri Lanka at Wellington, 1996/97"
102,CD McMillan,"New Zealand v Sri Lanka at Hyderabad (Deccan), 1997"
103,SB O'Connor,"New Zealand v Sri Lanka at Hyderabad (Deccan), 1997"
104,LG Howell,"New Zealand v Zimbabwe at Hamilton, 1997/98"
105,PJ Wiseman,"India v New Zealand at Sharjah, 1997/98"
106,MD Bailey,"New Zealand v Zimbabwe at Dhaka, 1998/99"
107,MD Bell,"New Zealand v Zimbabwe at Dhaka, 1998/99"
108,AR Tait,"New Zealand v Zimbabwe at Dhaka, 1998/99"
109,CJ Drum,"New Zealand v India at Wellington, 1998/99"
110,CE Bulfin,"New Zealand v South Africa at Napier, 1998/99"
111,SB Styris,"India v New Zealand at Rajkot, 1999/00"
112,WA Wisneski,"New Zealand v Australia at Wellington, 1999/00"
113,MS Sinclair,"New Zealand v Australia at Christchurch, 1999/00"
114,CJ Nevin,"New Zealand v Australia at Napier, 1999/00"
115,GP Sulzberger,"Zimbabwe v New Zealand at Harare, 2000/01"
116,DR Tuffey,"Zimbabwe v New Zealand at Harare, 2000/01"
117,BGK Walker,"South Africa v New Zealand at Benoni, 2000/01"
118,JEC Franklin,"New Zealand v Zimbabwe at Taupo, 2000/01"
119,CS Martin,"New Zealand v Zimbabwe at Taupo, 2000/01"
120,JDP Oram,"New Zealand v Zimbabwe at Wellington, 2000/01"
121,L Vincent,"New Zealand v Sri Lanka at Auckland, 2000/01"
122,AR Adams,"New Zealand v Sri Lanka at Sharjah, 2000/01"
123,KD Mills,"New Zealand v Pakistan at Sharjah, 2000/01"
124,SE Bond,"Australia v New Zealand at Melbourne, 2001/02"
125,MH Richardson,"Australia v New Zealand at Melbourne, 2001/02"
126,BB McCullum,"Australia v New Zealand at Sydney, 2001/02"
127,IG Butler,"New Zealand v England at Christchurch, 2001/02"
128,RG Hart,"Pakistan v New Zealand at Karachi, 2002"
129,PA Hitchcock,"West Indies v New Zealand at Kingston, 2002"
130,CD Cumming,"Pakistan v New Zealand at Lahore, 2003/04"
131,RA Jones,"Pakistan v New Zealand at Lahore, 2003/04"
132,HJH Marshall,"Pakistan v New Zealand at Lahore, 2003/04"
133,MJ Mason,"Pakistan v New Zealand at Lahore, 2003/04"
134,MDJ Walker,"Pakistan v New Zealand at Lahore, 2003/04"
135,KP Walmsley,"Pakistan v New Zealand at Lahore, 2003/04"
136,TK Canning,"Pakistan v New Zealand at Lahore, 2003/04"
137,MHW Papps,"New Zealand v South Africa at Auckland, 2003/04"
138,GJ Hopkins,"England v New Zealand at Chester-le-Street, 2004"
139,PG Fulton,"Bangladesh v New Zealand at Chittagong, 2004/05"
140,JAH Marshall,"New Zealand v Australia at Auckland, 2004/05"
141,LJ Hamilton,"New Zealand v Australia at Wellington, 2004/05"
142,JS Patel,"Zimbabwe v New Zealand at Harare, 2005"
143,JM How,"New Zealand v Sri Lanka at Queenstown, 2005/06"
144,LRPL Taylor,"New Zealand v West Indies at Napier, 2005/06"
145,MR Gillespie,"New Zealand v Sri Lanka at Napier, 2006/07"
146,JD Ryder,"New Zealand v England at Wellington, 2007/08"
147,IE O'Brien,"New Zealand v England at Napier, 2007/08"
148,DR Flynn,"New Zealand v England at Christchurch, 2007/08"
149,TG Southee,"England v New Zealand at Chester-le-Street, 2008"
150,GD Elliott,"England v New Zealand at Birmingham, 2008"
151,NT Broom,"New Zealand v West Indies at Auckland, 2008/09"
152,MJ Guptill,"New Zealand v West Indies at Auckland, 2008/09"
153,BJ Diamanti,"Australia v New Zealand at Brisbane, 2008/09"
154,PD McGlashan,"New Zealand v India at Wellington, 2008/09"
155,EP Thompson,"New Zealand v India at Hamilton, 2008/09"
156,NL McCullum,"Sri Lanka v New Zealand at Colombo (RPS), 2009"
157,AJ Redmond,"New Zealand v Pakistan at Johannesburg, 2009/10"
158,PJ Ingram,"New Zealand v Bangladesh at Napier, 2009/10"
159,AJ McKay,"New Zealand v Bangladesh at Napier, 2009/10"
160,SL Stewart,"New Zealand v Australia at Auckland, 2009/10"
161,KS Williamson,"India v New Zealand at Dambulla, 2010"
162,BJ Watling,"Sri Lanka v New Zealand at Dambulla, 2010"
163,HK Bennett,"Bangladesh v New Zealand at Dhaka, 2010/11"
164,LJ Woodcock,"New Zealand v Pakistan at Christchurch, 2010/11"
165,DAJ Bracewell,"Zimbabwe v New Zealand at Harare, 2011/12"
166,RJ Nicol,"Zimbabwe v New Zealand at Harare, 2011/12"
167,GW Aldridge,"Zimbabwe v New Zealand at Harare, 2011/12"
168,DG Brownlie,"New Zealand v Zimbabwe at Dunedin, 2011/12"
169,AM Ellis,"New Zealand v Zimbabwe at Dunedin, 2011/12"
170,TWM Latham,"New Zealand v Zimbabwe at Dunedin, 2011/12"
171,TS Nethula,"New Zealand v Zimbabwe at Whangarei, 2011/12"
172,MD Bates,"New Zealand v Zimbabwe at Napier, 2011/12"
173,C de Grandhomme,"New Zealand v South Africa at Auckland, 2011/12"
174,TA Boult,"West Indies v New Zealand at Basseterre, 2012"
175,AF Milne,"Sri Lanka v New Zealand at Hambantota, 2012/13"
176,MJ McClenaghan,"South Africa v New Zealand at Paarl, 2012/13"
177,JDS Neesham,"South Africa v New Zealand at Paarl, 2012/13"
178,C Munro,"South Africa v New Zealand at Kimberley, 2012/13"
179,HD Rutherford,"New Zealand v England at Napier, 2012/13"
180,L Ronchi,"England v New Zealand at Lord's, 2013"
181,CJ Anderson,"England v New Zealand at Cardiff, 2013"
182,AP Devcich,"Bangladesh v New Zealand at Dhaka, 2013/14"
183,MJ Henry,"New Zealand v India at Wellington, 2013/14"
184,MJ Santner,"England v New Zealand at Birmingham, 2015"
185,BM Wheeler,"England v New Zealand at Southampton, 2015"
186,AW Mathieson,"England v New Zealand at Chester-le-Street, 2015"
187,IS Sodhi,"Zimbabwe v New Zealand at Harare, 2015"
188,GH Worker,"South Africa v New Zealand at Potchefstroom, 2015"
189,HM Nicholls,"New Zealand v Sri Lanka at Christchurch, 2015/16"
190,LH Ferguson,"Australia v New Zealand at Sydney, 2016/17"
191,SC Kuggeleijn,"Ireland v New Zealand at Dublin (Malahide), 2017"
192,SHA Rance,"Ireland v New Zealand at Dublin (Malahide), 2017"
193,TD Astle,"New Zealand v West Indies at Whangarei, 2017/18"
194,MS Chapman,"New Zealand v England at Mount Maunganui, 2017/18"
195,TL Seifert,"New Zealand v Sri Lanka at Mount Maunganui, 2018/19"
