cap_no,name,ground_year
1,CJA Amini,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
2,CR Amini,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
3,MD Dai,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
4,WT Gavera,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
5,GO Jones,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
6,VV Morea,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
7,P Raho,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
8,L Siaka,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
9,TP Ura,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
10,A Vala,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
11,JNT Vare,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
12,N Vanua,"Hong Kong v Papua New Guinea at Townsville, 2014/15"
13,D Bau,"Hong Kong v Papua New Guinea at Mong Kok, 2016/17"
14,S Bau,"Hong Kong v Papua New Guinea at Mong Kok, 2016/17"
15,H Hiri,"Hong Kong v Papua New Guinea at Mong Kok, 2016/17"
16,CA Soper,"Hong Kong v Papua New Guinea at Mong Kok, 2016/17"
17,JB Reva,"Hong Kong v Papua New Guinea at Mong Kok, 2016/17"
18,A Nao,"United Arab Emirates v Papua New Guinea at Abu Dhabi, 2017"
19,N Pokana,"United Arab Emirates v Papua New Guinea at Abu Dhabi, 2017"
20,K Doriga,"Papua New Guinea v Scotland at Dubai (DSC), 2017/18"
21,D Ravu,"Papua New Guinea v Scotland at Dubai (DSC), 2017/18"
22,J Kila,"Papua New Guinea v United Arab Emirates at Harare, 2017/18"
23,SK Atai,"Papua New Guinea v United States of America at Windhoek, 2019"
